atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Huvadhu,0.4888,0.5188,0.6252,0.536,0.6144,0.5344,0.7628,0.618,0.4512,0.2744,0.5596,0.534,0.5392,0.3456,0.7492,0.5064,0.3384,0.5688,0.3036,0.3868,0.6228,0.4812,0.2084,0.7868,0.5012,0.544,0.4104,0.4876,0.5504,0.5464,0.624,0.6272,0.5508,0.0688,0.036,0.452,0.538
Ifalik,0.4844,0.4292,0.2216,0.4324,0.2164,0.4272,0.254,0.23,0.3256,0.454,0.5848,0.5788,0.5864,0.518,0.4608,0.5376,0.3392,0.4256,0.6332,0.3416,0.2276,0.464,0.5268,0.614,0.4936,0.5552,0.302,0.4724,0.4296,0.4208,0.2244,0.2168,0.5732,0.2984,0.3648,0.4076,0.4336
Ihavandhippolu,0.5884,0.5468,0.4956,0.55,0.472,0.6468,0.4636,0.4516,0.3808,0.2684,0.7332,0.716,0.7188,0.4268,0.47,0.6912,0.2876,0.4548,0.4408,0.3672,0.5,0.6044,0.2928,0.5392,0.5924,0.732,0.4652,0.5744,0.5524,0.6428,0.4604,0.5188,0.7368,0.0608,0.038,0.312,0.65
Kalpeni,0.6808,0.7264,0.608,0.7272,0.5856,0.76,0.4984,0.574,0.5568,0.3264,0.8148,0.8288,0.8312,0.5544,0.4388,0.814,0.4396,0.4512,0.7392,0.4792,0.6168,0.6932,0.5304,0.6432,0.6476,0.8184,0.6736,0.6852,0.7276,0.7656,0.5872,0.6184,0.8272,0.0192,0.0096,0.3612,0.7732
Katiu,0.4196,0.4092,0.5916,0.3876,0.6152,0.3952,0.694,0.6208,0.5224,0.506,0.304,0.2852,0.2712,0.3964,0.604,0.2988,0.5548,0.5728,0.2676,0.56,0.6132,0.402,0.364,0.3936,0.404,0.3204,0.4824,0.4012,0.4184,0.4128,0.6284,0.6048,0.3064,0.7552,0.7488,0.5796,0.3968
Kiltan,0.69,0.69,0.5828,0.6936,0.5288,0.748,0.3564,0.5412,0.5424,0.3632,0.7936,0.846,0.8304,0.5864,0.2956,0.8208,0.51,0.4008,0.794,0.5016,0.5748,0.704,0.608,0.494,0.658,0.8256,0.6912,0.6904,0.704,0.7508,0.5504,0.5788,0.8252,0.0376,0.0252,0.3128,0.75
Kolhumadulu,0.4824,0.4692,0.516,0.4428,0.4976,0.5356,0.5068,0.4892,0.384,0.2764,0.612,0.584,0.5944,0.3348,0.5316,0.5564,0.284,0.4464,0.3232,0.3092,0.5092,0.5048,0.2324,0.6468,0.5332,0.6244,0.3712,0.4896,0.4676,0.5312,0.4844,0.5076,0.628,0.0652,0.0516,0.3116,0.5204
Kuop,0.0848,0.0428,0.0572,0.0504,0.062,0.0304,0.094,0.0696,0.15,0.4348,0.0844,0.0584,0.048,0.2968,0.3708,0.0492,0.3692,0.2792,0.306,0.2384,0.0656,0.0824,0.242,0.284,0.1224,0.0648,0.0568,0.0972,0.0508,0.0324,0.0592,0.062,0.074,0.6612,0.7852,0.3724,0.028
Lamotrek,0.416,0.3024,0.1608,0.3064,0.1644,0.3488,0.1928,0.1604,0.2556,0.446,0.5128,0.4868,0.4912,0.446,0.3968,0.4352,0.2872,0.3996,0.4416,0.3004,0.1604,0.402,0.3972,0.44,0.4364,0.5056,0.2276,0.4204,0.3028,0.3372,0.152,0.1456,0.5092,0.4248,0.5412,0.3392,0.3388
Laualau,0.0352,0.0252,0.1672,0.024,0.1864,0.0172,0.138,0.1724,0.1892,0.2696,0.0196,0.022,0.0128,0.134,0.3336,0.0188,0.432,0.1924,0.1488,0.1816,0.158,0.0356,0.076,0.23,0.07,0.0288,0.0572,0.036,0.0232,0.0148,0.1652,0.1548,0.0228,0.3388,0.2964,0.2364,0.0108
Lib,0.5472,0.5408,0.3908,0.5552,0.4008,0.5256,0.2972,0.4084,0.522,0.5668,0.5816,0.6292,0.6364,0.5904,0.3804,0.5996,0.524,0.4148,0.7528,0.4644,0.4148,0.5544,0.6916,0.5804,0.5332,0.5664,0.534,0.5412,0.5516,0.5208,0.4036,0.4076,0.592,0.3472,0.3736,0.444,0.5284
Liot,0.0404,0.0372,0.2124,0.028,0.2268,0.0156,0.152,0.2404,0.2104,0.2472,0.036,0.0264,0.0272,0.1368,0.308,0.0304,0.4428,0.1728,0.2632,0.1656,0.2172,0.0392,0.11,0.3768,0.0944,0.0392,0.0676,0.0468,0.0376,0.0196,0.2388,0.2116,0.0376,0.1468,0.0944,0.2144,0.0204
Long_Reef,0.234,0.2044,0.2244,0.2,0.1952,0.1992,0.2664,0.2084,0.282,0.2836,0.2476,0.2112,0.2248,0.4448,0.4124,0.2,0.5028,0.3672,0.4828,0.4248,0.2236,0.218,0.3392,0.1692,0.2528,0.2452,0.3016,0.2228,0.2032,0.2048,0.196,0.2072,0.2508,0.2168,0.2732,0.3948,0.1964
Maalhosmadulu,0.4448,0.4112,0.5152,0.4188,0.4856,0.478,0.5672,0.492,0.3584,0.2468,0.5504,0.478,0.4884,0.3128,0.576,0.4648,0.3128,0.4608,0.2492,0.3432,0.5132,0.4432,0.1652,0.5644,0.4764,0.5344,0.3572,0.4456,0.4144,0.4788,0.492,0.5256,0.5516,0.09,0.0588,0.3224,0.4884
Makemo,0.444,0.4852,0.6684,0.47,0.68,0.4708,0.7924,0.6764,0.526,0.4708,0.3332,0.3296,0.3164,0.4224,0.7324,0.3288,0.5364,0.6356,0.2476,0.5748,0.6844,0.4288,0.3348,0.502,0.428,0.3476,0.5216,0.4512,0.48,0.472,0.6628,0.656,0.3568,0.6748,0.6436,0.638,0.4684
Makunudhoo,0.5496,0.488,0.5232,0.4752,0.4944,0.5648,0.3972,0.4872,0.438,0.3464,0.6604,0.6532,0.6648,0.3976,0.378,0.6264,0.3364,0.392,0.4544,0.3304,0.5432,0.5452,0.334,0.592,0.5612,0.672,0.4552,0.5196,0.5,0.5716,0.4888,0.516,0.6804,0.0956,0.062,0.2988,0.5596
Male,0.4996,0.5128,0.5572,0.5036,0.5244,0.5928,0.6104,0.5196,0.3924,0.2088,0.6292,0.6172,0.6196,0.3536,0.6228,0.5852,0.3096,0.4792,0.358,0.3736,0.5608,0.498,0.1876,0.6232,0.5404,0.6584,0.428,0.5032,0.5104,0.5768,0.5328,0.5576,0.6496,0.0208,0.0144,0.3384,0.586
Maloelap,0.54,0.5384,0.5072,0.536,0.5016,0.5752,0.6288,0.514,0.4552,0.352,0.5848,0.5824,0.5992,0.4532,0.6472,0.5204,0.4368,0.5692,0.4364,0.4912,0.5052,0.5276,0.3636,0.5788,0.538,0.5744,0.4832,0.5368,0.5572,0.5748,0.494,0.5256,0.5736,0.156,0.1784,0.5204,0.5684
Malum,0.1,0.07,0.2296,0.0708,0.2196,0.0688,0.1536,0.2184,0.1888,0.2044,0.1308,0.0924,0.09,0.1832,0.2856,0.0928,0.3248,0.1952,0.2244,0.1692,0.2296,0.1052,0.0872,0.2572,0.1648,0.14,0.1228,0.102,0.068,0.06,0.2288,0.2204,0.1268,0.0888,0.0736,0.1484,0.0568
Manuae,0.8116,0.8364,0.4616,0.8196,0.4944,0.8228,0.51,0.4548,0.6636,0.7892,0.7948,0.8428,0.848,0.8188,0.478,0.838,0.6108,0.6836,0.8076,0.7248,0.4664,0.8136,0.9032,0.5088,0.7304,0.806,0.7436,0.8056,0.8044,0.832,0.4824,0.4508,0.7952,0.9348,0.974,0.732,0.8344
