atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Ravahere,0.889,0.731,0.029,0.08,0.872,0.376,0.173,0.028,0.043,0.05,0.027,0.026,0.106,0.225,0.054,0.166,0.298,0.068,0.026,0.044,0.05,0.05,0.053,0.026,0.056,0.055,0.041,0.08,0.043,0.097,0.05,0.272,0.389,0.645,0.244,0.561,0.69
Redlick,0.336,0.202,0.063,0.01,0.392,0.061,0.04,0.114,0.136,0.071,0.028,0.037,0.235,0.205,0.058,0.103,0.211,0.066,0.065,0.088,0.054,0.028,0.053,0.072,0.035,0.037,0.03,0.02,0.04,0.018,0.054,0.294,0.136,0.261,0.146,0.337,0.167
Rekareka,0.941,0.826,0.049,0.151,0.921,0.582,0.192,0.036,0.057,0.069,0.058,0.052,0.177,0.303,0.038,0.285,0.413,0.085,0.07,0.076,0.078,0.088,0.109,0.054,0.07,0.102,0.073,0.115,0.082,0.166,0.08,0.374,0.478,0.556,0.154,0.618,0.81
Ringgold,0.581,0.564,0.076,0.063,0.463,0.175,0.047,0.128,0.148,0.098,0.074,0.117,0.448,0.308,0.059,0.319,0.161,0.1,0.115,0.114,0.056,0.083,0.125,0.099,0.071,0.07,0.07,0.083,0.182,0.071,0.067,0.361,0.315,0.291,0.168,0.45,0.433
Rowa,0.371,0.222,0.1,0.011,0.454,0.096,0.081,0.158,0.156,0.156,0.042,0.06,0.27,0.309,0.149,0.16,0.227,0.12,0.082,0.153,0.086,0.037,0.08,0.16,0.066,0.034,0.035,0.047,0.063,0.03,0.1,0.359,0.183,0.335,0.215,0.507,0.265
Sama,0.374,0.147,0.08,0.009,0.454,0.07,0.04,0.129,0.163,0.109,0.038,0.062,0.274,0.215,0.056,0.161,0.183,0.094,0.035,0.082,0.09,0.033,0.026,0.12,0.068,0.041,0.041,0.036,0.03,0.029,0.072,0.38,0.199,0.309,0.141,0.35,0.213
Samasuma,0.361,0.147,0.102,0.007,0.459,0.059,0.046,0.126,0.14,0.083,0.04,0.053,0.239,0.203,0.059,0.137,0.2,0.086,0.042,0.092,0.085,0.04,0.033,0.098,0.057,0.036,0.027,0.034,0.024,0.016,0.089,0.38,0.181,0.293,0.163,0.355,0.195
St_Francois,0.659,0.069,0.319,0.062,0.523,0.378,0.05,0.197,0.102,0.114,0.192,0.238,0.418,0.552,0.102,0.393,0.237,0.07,0.086,0.108,0.096,0.071,0.175,0.038,0.148,0.081,0.09,0.08,0.064,0.061,0.183,0.282,0.339,0.22,0.194,0.159,0.35
Taenga,0.895,0.763,0.041,0.11,0.885,0.367,0.219,0.028,0.034,0.03,0.023,0.017,0.067,0.247,0.076,0.148,0.371,0.048,0.02,0.051,0.042,0.046,0.033,0.035,0.04,0.045,0.056,0.061,0.046,0.074,0.053,0.287,0.331,0.393,0.071,0.6,0.631
Tauere,0.948,0.842,0.041,0.195,0.922,0.582,0.201,0.036,0.059,0.07,0.052,0.058,0.197,0.29,0.044,0.285,0.358,0.081,0.062,0.053,0.057,0.09,0.101,0.06,0.092,0.091,0.092,0.092,0.103,0.175,0.077,0.366,0.522,0.567,0.144,0.621,0.811
Tenaruga,0.915,0.643,0.027,0.076,0.839,0.423,0.124,0.032,0.032,0.077,0.037,0.048,0.153,0.247,0.042,0.222,0.176,0.069,0.016,0.041,0.044,0.073,0.038,0.034,0.058,0.069,0.024,0.075,0.033,0.091,0.035,0.235,0.434,0.796,0.417,0.549,0.704
Tepoto,0.853,0.62,0.035,0.066,0.871,0.354,0.114,0.039,0.044,0.043,0.02,0.019,0.07,0.21,0.014,0.145,0.468,0.053,0.046,0.046,0.047,0.046,0.067,0.024,0.044,0.037,0.05,0.048,0.028,0.069,0.058,0.285,0.318,0.514,0.127,0.463,0.627
Thiladhunmathi,0.783,0.241,0.328,0.228,0.487,0.458,0.091,0.226,0.054,0.094,0.272,0.384,0.556,0.522,0.332,0.526,0.098,0.073,0.059,0.08,0.096,0.132,0.06,0.14,0.202,0.128,0.102,0.151,0.242,0.085,0.173,0.307,0.48,0.046,0.045,0.19,0.444
Tuanake,0.855,0.614,0.027,0.046,0.895,0.262,0.148,0.039,0.031,0.031,0.011,0.016,0.06,0.178,0.039,0.112,0.401,0.041,0.036,0.043,0.04,0.03,0.029,0.029,0.042,0.039,0.04,0.031,0.026,0.067,0.053,0.277,0.261,0.487,0.129,0.554,0.545
Vahitahi,0.952,0.905,0.037,0.274,0.908,0.629,0.211,0.048,0.045,0.051,0.066,0.071,0.217,0.328,0.052,0.332,0.293,0.089,0.066,0.054,0.053,0.117,0.123,0.054,0.092,0.105,0.065,0.146,0.16,0.188,0.065,0.357,0.586,0.61,0.177,0.694,0.842
West_Fayu,0.922,0.931,0.038,0.12,0.823,0.449,0.087,0.055,0.037,0.056,0.048,0.056,0.662,0.764,0.022,0.284,0.186,0.054,0.12,0.042,0.04,0.039,0.116,0.055,0.05,0.047,0.047,0.058,0.187,0.061,0.038,0.123,0.647,0.089,0.046,0.376,0.572
Woleai,0.931,0.921,0.03,0.132,0.825,0.377,0.101,0.039,0.039,0.044,0.047,0.059,0.648,0.72,0.058,0.247,0.091,0.044,0.066,0.033,0.034,0.04,0.055,0.082,0.034,0.045,0.026,0.076,0.247,0.078,0.028,0.114,0.635,0.062,0.025,0.433,0.534
