atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Ducie,400.00,,,30.00,10000.00,-1.00,,,,,,,,,,,1440.00,,,,,,60000.00,10.00,500000.00,,,,,6000.00,,,80.00,180.00,,,100.00
Egmont,128.00,,-1.00,,94.00,,,,,,,,140.00,140.00,,4.00,,,,,,,,,,,,,,,,,,,,,248.00
Egum,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enderbury,4000.00,10000.00,,,100.00,400000.00,1000.00,,,,,,,,,,200.00,,,,,,,,,,,,94.00,4.00,100.00,4000.00,600.00,2000.00,,2000.00,1000.00
Eniwetok,4600.00,3400.00,,-1.00,1400.00,16000.00,-1.00,,,,,,408.00,2.00,,8.00,17.00,,,,,,,,,,,,,,,,200.00,,,100.00,400.00
Erikub,-1.00,-1.00,,,-1.00,,,,,,,,-1.00,-1.00,,-1.00,-1.00,,,,,,,,,,,,,,,-1.00,-1.00,,,-1.00,-1.00
Etal,-1.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europa,,,,,,3000000.00,,,,,30.00,,,,,2000.00,9000.00,,,,,,,,,,,,,,100.00,4000.00,3000.00,,,,9000.00
Faaite,50.00,1000.00,,,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakahina,-1.00,36434.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fakaofo,-1.00,-1.00,,,-1.00,,,,,,,,40.00,,,,,,,,,,,,,,,,,,,,,,,,600.00
Fakarava,91.00,141.00,,,289.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.00,,,146.00,143.00
Fangatau,,36434.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fangataufa,100.00,70.00,,,200.00,50.00,,,,,,,,,,,120.00,,,,,,2.00,,100.00,,,,,,,,50.00,50.00,,,100.00
Farquhar,38278.00,,60.00,,200.00,561200.00,,,,,,134.00,224.00,100.00,,,,,,,,,,,,,,,,,,,,,,,17552.00
French_Frigate_Shoals,10182.00,11000.00,,6.00,3700.00,250000.00,1789.00,,,,,,,,,,444.00,1550.00,8518.00,,,544.00,,,,750.00,,518.00,13000.00,50.00,,,1413.00,1190.00,,130.00,757.00
Funafuti,-1.00,-1.00,,,-1.00,-1.00,,,,,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,
Glorioso,600.00,,,,,520000.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hao,-1.00,-1.00,,45170.00,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36434.00
Haraiki,333.00,100.00,,,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen,,3500.00,,,50.00,80000.00,,,,,,,350.00,7000.00,,,,,,,,,,,,,,,,,,100.00,,,,750.00,2500.00
Hereheretui,-1.00,36434.00,,,-1.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
