"","PC1","PC2","PC3","PC4","PC5","PC6","atoll","region","species","presence","cond"
"1",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Anous_stolidus",TRUE,"\w+"
"2",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Anous_minutus",TRUE,"Melanesia|Micronesia|Polynesia"
"3",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Anous_tenuirostris",FALSE,"Indian_Ocean"
"4",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Anous_ceruleus",FALSE,"Melanesia|Micronesia|Polynesia"
"5",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Gygis_alba",TRUE,"\w+"
"6",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Onychoprion_fuscatus",TRUE,"\w+"
"7",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Onychoprion_lunatus",TRUE,"Melanesia|Micronesia|Polynesia"
"8",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Onychoprion_anaethetus",FALSE,"Indian_Ocean|Melanesia"
"9",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Sternula_nereis",FALSE,"Melanesia"
"10",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Sternula_saundersi",FALSE,"Indian_Ocean"
"11",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Hydroprogne_caspia",FALSE,"Indian_Ocean|Melanesia"
"12",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Sterna_dougallii",FALSE,"Indian_Ocean|Melanesia"
"13",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Sterna_sumatrana",FALSE,"Indian_Ocean|Melanesia|Micronesia"
"14",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Thalasseus_bergii",FALSE,"\w+"
"15",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Thalasseus_bengalensis",FALSE,"Indian_Ocean"
"16",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Phaethon_lepturus",FALSE,"\w+"
"17",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Phaethon_rubricauda",TRUE,"\w+"
"18",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Phoebastria_immutabilis",FALSE,"\d"
"19",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Phoebastria_nigripes",FALSE,"\d"
"20",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Phoebastria_albatrus",FALSE,"\d"
"21",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Nesofregetta_fuliginosa",FALSE,"\d"
"22",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Hydrobates_tristrami",FALSE,"\d"
"23",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Pterodroma_neglecta",FALSE,"\d"
"24",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Pterodroma_heraldica",FALSE,"Polynesia|Melanesia"
"25",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Pterodroma_ultima",FALSE,"\d"
"26",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Pterodroma_hypoleuca",FALSE,"\d"
"27",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Pterodroma_alba",TRUE,"\d"
"28",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Bulweria_bulwerii",FALSE,"\d"
"29",0.679019164156345,0.662152817364154,-0.370511704530989,-0.473448799491431,0.601591207102576,0.613325874785662,"Abariringa","Polynesia","Ardenna_pacifica",FALSE,"\w+"
