"","nppv","chl","phyc","temp","velo","atoll","lat","long"
"1",0.865641115252946,-2.4579483422246,0.126579522280401,3.37591817369095,-3.3241331511988,"Ant",6.7819444,157.9166667
"2",2.81765656823633,-1.35788209069285,0.477590923680084,3.37049071974092,-2.92228020767715,"Abaiang",1.8569,172.9472
"3",2.06236105658928,-1.80263539626423,0.334015254972104,3.35912852113819,NA,"Abariringa",-2.816761,-171.674099
"4",2.48205957249572,-1.60799834759913,0.374102729349683,3.36845179239876,-3.58169432494011,"Abemama",0.3927,173.8657
"5",1.28732381977997,-2.2525389850916,0.183224700651521,3.37908076496091,NA,"Addu",-0.64009,73.157791
"6",1.47498492091279,-2.14378464855811,0.235871197527857,3.34034576437575,-3.98183380876716,"Ahe",-14.4784,-146.3037
"7",0.0614544622896431,-2.66680272618182,0.0472298767493045,3.28791955062615,-4.63272814830453,"Ahunui",-19.6342,-140.4093
"8",1.13602601034033,-2.31151369383496,0.226924242988427,3.3455567582452,-3.17149804701692,"Ailinginae",11.144382,166.378242
"9",1.69040104279311,-2.07481350551613,0.190932315720586,3.36497600320779,-3.19679735687548,"Ailinglaplap",7.394,168.7634
"10",0.966629630118338,-2.40312559306151,0.155963807144593,3.34583474865087,-2.97924490552265,"Ailuk",10.3410084,169.9418605
"11",1.84607809118157,-1.87164822886334,0.325231077857782,3.3066139073301,-3.19590927036685,"Aldabra",-9.416548,46.343366
"12",1.7579866866403,-1.94331040879428,0.314088777150284,3.32350505100234,-4.24613197450352,"Alphonse",-7.0206,52.7374
"13",0.362426310402087,-2.58812696783148,0.088524410650689,3.30786152777252,-3.63730195569577,"Amanu",-17.8076,-140.7621
"14",1.36051136062881,-2.15686870718445,0.233734726596357,3.31904167578174,-4.37903917186291,"Anaa",-17.41667,-145.5
"15",2.19817733794365,-1.77720254189208,0.252927983928601,3.38854239000121,-4.31574520524635,"Analtin",-1.1263,144.3952
"16",0.256799945148709,-2.58266430255665,0.0776778020896431,3.27874089387525,-4.79986985912795,"Anuanuraro",-20.436,-143.5355
"17",0.160040607609092,-2.61469569825682,0.0607387744213699,3.27470929281802,-5.12827368358025,"Anuanurunga",-20.6135,-143.287
"18",1.77929702835711,-1.97768744459684,0.294353041632411,3.33479549387551,-4.68201705864667,"Apataki",-15.4527,-146.3248
"19",2.50087007356416,-1.60065910492404,0.387643252243934,3.36878522220944,-3.49799093144179,"Aranuka",0.1659,173.6088
"20",1.64700270912261,-2.04656448659225,0.272540382141263,3.33240419854857,-4.16989555690977,"Aratika",-15.5392,-145.5294
"21",1.70369630423159,-2.07009167083038,0.294853536820929,3.37034531364555,-4.49227417631,"Ari",3.83,72.85
"22",1.94173817852534,-1.91443479983025,0.239516891415431,3.3642227870392,-2.76071379491244,"Arno",7.081172,171.6562687
"23",1.79008451623624,-1.97086075792131,0.293573302096736,3.33503409459418,-5.64441608474051,"Arutua",-15.3217,-146.742
"24",1.82932539547231,-1.87409658226702,0.308150058633667,3.29851658614442,-2.51645517994006,"Astove",-10.087218,47.745384
"25",1.18640761810244,-2.26581455623427,0.13688357761578,3.38211991788593,NA,"Atafu",-8.5602,-172.4929
"26",1.593160187586,-2.11276569856477,0.211180359680182,3.35697530025242,-2.65719344191966,"Aur",8.255,171.0935
"27",2.33977993515774,-1.69194696146737,0.272229296687736,3.38616626774697,-3.6142710396922,"Awin",-1.649,144.0179
"28",1.64533558829248,-2.09259361352612,0.291895970972362,3.36821334790066,-4.56672812902362,"Baa",4.8529,72.9244
"29",1.35121962955902,-2.21168685895784,0.329305476711104,3.36505777890925,-4.86884462045648,"Bangaram",10.9128,72.2279
"30",0.717805593775153,-2.35366902820243,0.18766318241996,3.25402540967571,-3.03527113966772,"Beautemps-Beaupre",-20.3455,166.1691
"31",1.04175353870935,-2.15269586290913,0.184297817429409,3.22413362118279,-4.42761801782798,"Bellona",-21.156,158.9917
"32",2.11604395841131,-1.81062834173488,0.333369073520442,3.37198511181892,NA,"Beru",-1.3215,175.9784
"33",0.248988974020612,-2.64439189373657,0.0660976844307752,3.33568237696865,-3.24841747165267,"Bikar",12.25111,170.10303
"34",1.08381983360833,-2.32898199978007,0.218511301196226,3.34494460276139,-2.74794683868695,"Bikini",11.5391494,165.2716261
"35",2.00588070867671,-1.8341770566457,0.334211784559679,3.36415126701538,NA,"Birnie",-3.5847,-171.5169
"36",1.38196588386781,-2.19547296513764,0.336360776132582,3.36401713376178,-4.08992717505851,"Bitra_Par",11.5482,72.1636
"37",-0.0810502966139353,-2.74251360040479,0.0448046516197989,3.33038972288448,-2.97280083872364,"Bokaak",14.6559,168.9733
"38",1.5963245306409,-2.06618777859546,0.296720824662431,3.33624155035555,NA,"Bramble_Haven",-11.2299,152.0092
"39",2.221549357182,-1.72800309538762,0.318204350224345,3.36026725625333,-2.74728322242481,"Budibudi",-9.2862,153.6736
"40",2.29614814534312,-1.68670578738441,0.337148776624671,3.37188016367723,-2.41242160897798,"Butaritari",3.152,172.8311
"41",1.37511111400023,-2.19842257637539,0.335013344750354,3.36315986704843,-4.2278917745802,"Byramgore",11.8942,71.8011
"42",1.4702854337792,-2.11094561014239,0.25031078374054,3.35609986255596,NA,"Caroline",-9.9594389,-150.2053785
"43",1.38502003413801,-2.19129366115222,0.336015837591742,3.36223573228068,-4.35146654156752,"Cherbaniani",12.3498,71.9068
"44",0.659722158602854,-2.37751617805971,0.198691453859843,3.25824975990982,-3.8596822126569,"Chesterfield",-19.2865,158.6077
