atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Hikueru,0.9635,0.9305,0.001,0.1225,0.9185,0.761,0.197,0.003,0.0075,0.0035,0.004,0.0035,0.186,0.219,0.0015,0.3425,0.276,0.012,0.0035,0.0105,0.012,0.0105,0.006,0.0045,0.009,0.017,0.036,0.0175,0.0225,0.056,0.02,0.565,0.501,0.657,0.023,0.6695,0.882
Hiti,0.9175,0.8135,0.001,0.0575,0.9285,0.627,0.167,0.003,0.002,0.002,0.001,0.0005,0.103,0.159,0.003,0.1905,0.361,0.012,0.0035,0.0065,0.013,0.0065,0.003,0.008,0.0045,0.0045,0.02,0.0105,0.012,0.0315,0.0205,0.591,0.3165,0.387,0.004,0.623,0.7875
Huvadhu,0.483,0.011,0.25,0.0095,0.3675,0.1625,0.071,0.1435,0.0025,0.0275,0.036,0.0515,0.0835,0.2285,0.336,0.0785,0.0945,0.0015,0.001,0.01,0.01,0.01,0.0015,0.006,0.014,0.0005,0.0195,0.007,0.071,0.0005,0.075,0.1765,0.106,0.0375,0.007,0.293,0.173
Ifalik,0.856,0.8645,0.002,0.023,0.7425,0.157,0.012,0.0035,0.0,0.0025,0.002,0.0025,0.5065,0.803,0.003,0.142,0.1285,0.003,0.0125,0.002,0.002,0.002,0.002,0.0025,0.0015,0.002,0.0,0.003,0.0745,0.006,0.0005,0.042,0.495,0.154,0.0105,0.335,0.24
Ihavandhippolu,0.934,0.0085,0.2875,0.0055,0.5735,0.3775,0.0015,0.21,0.005,0.048,0.27,0.5395,0.6955,0.7455,0.09,0.683,0.1145,0.0015,0.004,0.006,0.003,0.009,0.0125,0.008,0.054,0.012,0.0045,0.037,0.0725,0.008,0.0745,0.2075,0.659,0.0415,0.001,0.0905,0.446
Kalpeni,0.936,0.0095,0.306,0.012,0.597,0.3825,0.0005,0.215,0.0035,0.052,0.2915,0.5375,0.728,0.7775,0.094,0.696,0.148,0.002,0.0055,0.002,0.007,0.0135,0.0255,0.005,0.055,0.013,0.0045,0.0325,0.093,0.004,0.0815,0.2215,0.6695,0.033,0.0,0.0885,0.43
Katiu,0.857,0.8055,0.0005,0.054,0.9135,0.5665,0.216,0.003,0.001,0.004,0.0015,0.0005,0.055,0.117,0.002,0.139,0.3495,0.0115,0.002,0.0045,0.015,0.003,0.0035,0.003,0.002,0.0035,0.0265,0.0055,0.0155,0.0215,0.013,0.58,0.24,0.333,0.003,0.6475,0.745
Kiltan,0.936,0.008,0.3795,0.0135,0.641,0.4365,0.001,0.2645,0.0075,0.052,0.3205,0.5875,0.7395,0.8075,0.091,0.727,0.173,0.001,0.005,0.005,0.008,0.0135,0.0285,0.0065,0.0605,0.0125,0.0045,0.0375,0.086,0.004,0.097,0.278,0.6795,0.0245,0.0005,0.0945,0.4655
Kolhumadulu,0.8915,0.007,0.3125,0.004,0.5075,0.2955,0.0045,0.1805,0.005,0.0315,0.1175,0.255,0.4085,0.593,0.1335,0.4125,0.1165,0.001,0.003,0.0035,0.0035,0.0075,0.007,0.0065,0.024,0.002,0.0065,0.018,0.053,0.001,0.0695,0.211,0.408,0.0265,0.001,0.1145,0.353
Kuop,0.648,0.45,0.0,0.002,0.544,0.041,0.014,0.0025,0.0,0.0015,0.0,0.001,0.1835,0.57,0.002,0.0335,0.0675,0.0035,0.005,0.0005,0.0,0.0005,0.0,0.004,0.0,0.0,0.0005,0.0005,0.009,0.0025,0.0,0.016,0.209,0.362,0.0455,0.2865,0.0765
