"","longitude","latitude","precip_anom","atoll","lat","long"
"219",11.25,-13.75,0.0799999982118607,"Rose",-14.5424865,-168.1637445
"220",348.75,-13.75,0.00999999977648258,"Rowa",-13.6239,167.5185
"221",251.25,-6.25,0.00999999977648258,"Saloman",-5.3303,72.246
"222",323.75,-1.25,-1.32999997027218,"Sama",-1.4032,144.0808
"223",323.75,-1.25,-1.32999997027218,"Samasuma",-1.481,144.0458
"224",336.25,6.25,-1.04999997653067,"Sapwuahfik",5.8161306,157.2477972
"225",333.75,6.25,-1.12999997474253,"Satawan",5.4915713,153.5423431
"226",26.25,-16.25,-0.839999981224537,"Scilly",-16.5434,-154.6841
"227",321.25,8.75,-0.0699999984353781,"Sorol",8.123771,140.40636
"228",233.75,-6.25,0.34999999217689,"St_Francois",-7.1177,52.749
"229",233.75,-6.25,0.34999999217689,"St_Joseph",-5.4306,53.3358
"230",23.75,-6.25,0.119999997317791,"Starbuck",-5.6405,-155.8776
"231",251.25,11.25,-1.27999997138977,"Suheli_Par",10.0774,72.2915
"232",343.75,-18.75,0.0499999988824129,"Surprise",-18.4121,163.1109
"233",16.25,-13.75,-0.149999996647239,"Suwarrow",-13.2279,-163.1261
"234",8.75,-11.25,0,"Swains",-11.052904,-171.0767349
"235",353.75,-1.25,-0.389999991282821,"Tabiteuea",-1.4089,174.8694
"236",21.25,3.75,-0.30999999307096,"Tabuaeran",3.872,-159.3170178
"237",36.25,-16.25,-1.15999997407198,"Taenga",-16.3574,-143.1398
"238",36.25,-16.25,-1.15999997407198,"Tahanea",-16.8646,-144.7778
"239",36.25,-16.25,-1.15999997407198,"Taiaro",-15.7438,-144.6336
"240",348.75,11.25,0.0799999982118607,"Taka",11.1520422,169.6179182
"241",33.75,-13.75,-0.489999989047647,"Takapoto",-14.6323339,-145.1763392
"242",36.25,-13.75,-0.299999993294477,"Takaroa",-14.4496,-144.9694
"243",38.75,-16.25,-0.219999995082617,"Takume",-15.8099,-142.2098
"244",336.25,-3.75,-0.799999982118607,"Takuu",-4.7537,156.9735
"245",353.75,1.25,-0.88999998010695,"Tarawa",1.4387,172.9878
"246",41.25,-16.25,0.219999995082617,"Tatakoto",-17.3416,-138.3967
"247",38.75,-16.25,-0.219999995082617,"Tauere",-17.3772,-141.506
"248",36.25,-16.25,-1.15999997407198,"Tekokota",-17.3135,-142.5725
"249",38.75,-21.25,-0.399999991059303,"Temitangi",-21.6803,-140.6266
"250",46.25,-23.75,-0.419999990612268,"Temoe",-23.3466,-134.4779
"251",43.75,-21.25,-0.469999989494681,"Tenararo",-21.3043,-136.7447
"252",43.75,-21.25,-0.469999989494681,"Tenaruga",-21.3451,-136.542
"253",36.25,-16.25,-1.15999997407198,"Tepoto",-16.8206,-144.2804
"254",18.75,3.75,-0.489999989047647,"Teraina",4.6839252,-160.3783959
"255",31.25,-16.25,-0.96999997831881,"Tetiaroa",-17.0162552,-149.5897766
"256",253.75,6.25,3.60999991931021,"Thiladhunmathi",6.7164,73.0161
"257",31.25,-16.25,-0.96999997831881,"Tikehau",-15.0031,-148.1738
"258",33.75,-16.25,-1.13999997451901,"Toau",-15.907,-146.0233
"259",21.25,-8.75,0.00999999977648258,"Tongareva",-8.998556,-157.9715
"260",36.25,-16.25,-1.15999997407198,"Tuanake",-16.6531,-144.2148
"261",298.75,8.75,-0.719999983906746,"Tubbataha",8.85,119.9333
"262",28.75,-16.25,-0.919999979436398,"Tupai",-16.2623,-151.8165
"263",41.25,-21.25,-0.329999992623925,"Tureia",-20.8293,-138.539
"264",346.25,8.75,0.299999993294477,"Ujae",9.0812091,165.6122758
"265",341.25,8.75,-0.259999994188547,"Ujelang",9.8206101,160.9263437
"266",318.75,8.75,-0.0799999982118607,"Ulithi",9.9613889,139.6036111
"267",348.75,11.25,0.0799999982118607,"Utirik",11.2497,169.788
"268",43.75,-21.25,-0.469999989494681,"Vahanga",-21.3321,-136.651
"269",41.25,-18.75,-0.259999994188547,"Vahitahi",-18.7742,-138.8197
"270",41.25,-18.75,-0.259999994188547,"Vairaatea",-19.3491,-139.2201
"271",358.75,-6.25,-0.0699999984353781,"Vaitupu",-7.2792,178.6782
"272",41.25,-21.25,-0.329999992623925,"Vanavana",-20.7809,-139.1407
"273",1.25,-16.25,0,"Wailagilala",-16.7732,-179.1073
"274",346.25,18.75,-0.0799999982118607,"Wake",19.2960859,166.6269779
"275",326.25,8.75,-0.129999997094274,"West_Fayu",8.0743,146.7162
"276",323.75,6.25,-1.46999996714294,"Woleai",7.3462,143.8652
"277",346.25,8.75,0.299999993294477,"Wotho",9.9562337,166.1363121
"278",351.25,8.75,0.0699999984353781,"Wotje",9.438,170.0167
