atoll,Anous_ceruleus,Bulweria_bulwerii,Pterodroma_heraldica,Sula_sula,Anous_stolidus,Thalasseus_bergii,Nesofregetta_fuliginosa,Fregata_ariel,Sula_dactylatra,Gygis_alba,Sternula_saundersi,Pterodroma_neglecta,Phoebastria_immutabilis,Puffinus_bailloni,Phaethon_rubricauda,Phoebastria_nigripes,Sula_leucogaster,Puffinus_nativitatis,Pterodroma_hypoleuca,Sterna_sumatrana,Thalasseus_bengalensis,Sterna_dougallii,Pterodroma_alba,Phaethon_lepturus,Sula_granti,Hydrobates_tristrami,Phoebastria_albatrus,Anous_minutus,Onychoprion_fuscatus,Fregata_minor,Ardenna_pacifica,Sternula_nereis,Onychoprion_lunatus,Anous_tenuirostris,Hydroprogne_caspia,Onychoprion_anaethetus,Pterodroma_ultima
Namorik,0.78144375,0.0048125,0.151675,0.0030375,0.8786875,0.00278125,0.00700625,0.00075,0.00318125,0.00580625,0.00194375,0.024575,0.01996875,0.0004625,0.00759375,0.09145,0.0044625,0.1115625,0.0012125,0.00045,0.02168125,0.22835,0.47640625,0.0022625,0.00493125,0.0104125,0.00096875,0.84981875,0.00220625,0.0006125,0.11905625,0.0006,0.00624375,0.0151625,0.36335,0.00364375,0.00203125
Nanumanga,0.92583125,0.48136875,0.0009625,0.00293125,0.0011125,0.67915,0.00051875,0.06635625,0.41951875,0.00045625,0.00598125,0.00168125,0.00171875,0.0009125,0.261025,0.0017375,0.17160625,0.01836875,0.00261875,0.00478125,0.5649875,0.00413125,0.00325,0.2493375,0.37846875,0.00099375,0.00169375,0.83371875,0.0874,0.00065625,0.92384375,0.00441875,0.00205625,0.0728125,0.00064375,0.07510625,0.001075
Nanumea,0.921275,0.5222375,0.0014625,0.003675,0.00109375,0.68054375,0.00061875,0.09268125,0.46426875,0.0005625,0.00970625,0.00171875,0.002125,0.00146875,0.2954375,0.00209375,0.20595,0.02439375,0.00275,0.0073125,0.57303125,0.00566875,0.00538125,0.24184375,0.38959375,0.00114375,0.00231875,0.8315875,0.0973625,0.000575,0.9252125,0.00648125,0.0023,0.08530625,0.00066875,0.07349375,0.00106875
Ngulu,0.7131875,0.0383875,0.1284125,0.01435625,0.69231875,0.002925,0.0288375,0.00171875,0.0100375,0.0514875,0.001625,0.07079375,0.102975,0.00149375,0.08465625,0.1973875,0.03951875,0.11800625,0.0029,0.00110625,0.0591625,0.3551625,0.25368125,0.00180625,0.00491875,0.0109625,0.010825,0.69728125,0.0068375,0.00119375,0.03565625,0.00069375,0.017125,0.009625,0.4878125,0.0061625,0.00819375
Nihiru,0.9412,0.35050625,0.00331875,0.001725,0.00108125,0.727375,0.00120625,0.1613625,0.32546875,0.00093125,0.00871875,0.00544375,0.0038125,0.00358125,0.34283125,0.0036125,0.21575,0.02286875,0.0177625,0.0175875,0.42491875,0.00999375,0.00589375,0.153225,0.41939375,0.00138125,0.00383125,0.8498125,0.1185625,0.00148125,0.93413125,0.02363125,0.001175,0.16933125,0.00146875,0.0734625,0.01248125
Nikunau,0.79660625,0.01500625,0.87210625,0.0099875,0.89025625,0.00465625,0.0141875,0.025675,0.0133,0.01586875,0.1289125,0.04291875,0.21655625,0.037725,0.0539125,0.39795625,0.02695625,0.69066875,0.00093125,0.0261125,0.02401875,0.73543125,0.99535625,0.00236875,0.012225,0.04485,0.015125,0.87116875,0.00496875,0.00238125,0.23351875,0.062225,0.03715,0.1400625,0.72225,0.00283125,0.00098125
Nomwin,0.73215625,0.00396875,0.11351875,0.00218125,0.80248125,0.00181875,0.016725,0.0006375,0.00335625,0.0176,0.0012375,0.06959375,0.02858125,0.0004125,0.00914375,0.12665625,0.00538125,0.08856875,0.00539375,0.0003875,0.014175,0.23815625,0.32305,0.00133125,0.003325,0.01015625,0.0016375,0.7779125,0.0037625,0.00106875,0.06460625,0.000475,0.006,0.01264375,0.47273125,0.00479375,0.01768125
Nui,0.92221875,0.312825,0.000475,0.0024875,0.00095,0.63244375,0.00059375,0.036375,0.3287375,0.000325,0.002475,0.001625,0.00088125,0.000375,0.1189,0.00105625,0.0867,0.01084375,0.003875,0.00191875,0.46646875,0.0020125,0.0011,0.21938125,0.30776875,0.00091875,0.00099375,0.83074375,0.09499375,0.00048125,0.9165625,0.0019375,0.00149375,0.06413125,0.00053125,0.08554375,0.0019625
Nukufetau,0.91884375,0.30643125,0.000625,0.00194375,0.00106875,0.63715,0.0006875,0.03939375,0.28480625,0.0005875,0.00191875,0.00214375,0.0011875,0.000725,0.1208375,0.001525,0.1047625,0.009525,0.00656875,0.00250625,0.4542625,0.00293125,0.00116875,0.1888625,0.29556875,0.0008875,0.00105,0.82186875,0.096125,0.000525,0.90555,0.0026375,0.00171875,0.06803125,0.0006,0.08138125,0.00395625
Olimarao,0.7463875,0.00771875,0.202925,0.00385625,0.8247,0.002475,0.01235625,0.0006625,0.0033625,0.0196,0.0015125,0.06344375,0.06328125,0.0008875,0.02176875,0.1775,0.01139375,0.09818125,0.00364375,0.00063125,0.02346875,0.3684,0.36218125,0.00174375,0.00525,0.00965,0.00418125,0.78648125,0.00244375,0.0008625,0.0720625,0.000725,0.00841875,0.0097625,0.446975,0.00345,0.00961875
Pinipel,0.46818125,0.39403125,0.01088125,0.08515,0.30831875,0.00091875,0.12935,0.15605625,0.03353125,0.06785,0.001475,0.00038125,0.0020875,0.0078,0.21240625,0.5888625,0.138725,0.006375,0.00048125,0.17033125,0.25775625,0.64836875,0.0055625,0.25125625,6.25e-5,0.25549375,0.00825,0.0183125,0.00540625,0.124125,0.15035,0.0175125,0.079625,0.00091875,0.00435625,0.009425,0.01048125
Pulap,0.723,0.00480625,0.11964375,0.002775,0.8050375,0.0015875,0.012875,0.0006875,0.0032125,0.01610625,0.00133125,0.05925625,0.03125625,0.00045,0.01003125,0.1284375,0.0063375,0.0859375,0.0039125,0.00030625,0.01555,0.25685625,0.3155875,0.0013375,0.0035875,0.00904375,0.00180625,0.77096875,0.003,0.0008,0.06595,0.00041875,0.00695,0.00998125,0.4396875,0.00415,0.011825
Pulusuk,0.7287125,0.00405625,0.09941875,0.00305625,0.81484375,0.0018375,0.01365625,0.0003875,0.002425,0.0164875,0.00078125,0.06516875,0.02926875,0.0003625,0.0080125,0.1170375,0.00508125,0.06183125,0.00493125,0.00015625,0.01699375,0.2250875,0.19785625,0.0017625,0.00368125,0.009225,0.0015,0.777575,0.00228125,0.0009875,0.0676,0.00025,0.00730625,0.0076125,0.37303125,0.003725,0.01555
Puluwat,0.7102125,0.0028,0.20315,0.00219375,0.82159375,0.00176875,0.01110625,0.000625,0.0021875,0.01321875,0.0012,0.0685375,0.0379375,0.0007375,0.00628125,0.153125,0.0050375,0.08030625,0.0063375,0.00034375,0.01240625,0.3021375,0.3411875,0.0012125,0.00306875,0.01114375,0.00221875,0.781425,0.00205,0.0010375,0.07238125,0.000625,0.0089375,0.01079375,0.41979375,0.00339375,0.0177125
Rasdhoo,0.02171875,0.01994375,0.8753375,0.58324375,0.03098125,0.8801125,0.17510625,0.00264375,0.962425,0.54786875,0.55003125,0.0035875,0.014325,0.01634375,0.0664375,0.530075,0.41488125,0.00386875,0.00324375,0.00398125,0.75849375,0.9008875,0.9032875,0.000675,0.6401375,0.5852875,0.2179,0.00594375,0.00199375,0.238275,0.69078125,0.1202,0.94435625,0.00348125,0.93835,0.34500625,0.06855
Ravahere,0.9330125,0.31619375,0.00975,0.00230625,0.001225,0.721725,0.00149375,0.17498125,0.2486625,0.0016875,0.01183125,0.01134375,0.0102625,0.00995,0.44676875,0.00768125,0.30655,0.02440625,0.04978125,0.03210625,0.36540625,0.023375,0.0073875,0.1353625,0.43113125,0.00153125,0.009925,0.8327625,0.08409375,0.00255625,0.93025,0.0588625,0.0016375,0.1626875,0.0015375,0.05975625,0.04138125
Redlick,0.761,0.190375,0.00050625,0.032525,0.59135625,0.00258125,0.26603125,0.14534375,0.0148,0.03751875,7.5e-5,0.00044375,0.00021875,0.00061875,0.31215625,0.52791875,0.03976875,0.0017375,0.0008125,0.16646875,0.1812375,0.50725625,0.0007,0.2835125,0.0002125,0.21266875,0.0013875,0.03339375,0.00398125,0.22146875,0.31498125,0.00883125,0.0044,0.0020875,0.00265,0.0094375,0.042475
Rekareka,0.9283125,0.3547125,0.0132,0.00249375,0.0010375,0.72325625,0.00154375,0.14796875,0.2325375,0.00165,0.011125,0.01286875,0.01605625,0.0136,0.553275,0.00911875,0.38146875,0.02290625,0.05315,0.0377375,0.38806875,0.035025,0.00760625,0.15651875,0.4542625,0.001875,0.01460625,0.82125625,0.0569125,0.002475,0.9302625,0.06514375,0.00230625,0.12155625,0.00149375,0.049425,0.04250625
Ringgold,0.795625,0.33515,0.0025875,0.05140625,0.57188125,0.00354375,0.5059875,0.34290625,0.01844375,0.21930625,0.0001625,0.00233125,0.0020875,0.00345625,0.81105625,0.7636875,0.17118125,0.00325,0.00481875,0.510475,0.21489375,0.805175,0.00254375,0.21015,0.000375,0.23729375,0.0107875,0.02723125,0.00485625,0.508225,0.2790375,0.054075,0.0035375,0.00234375,0.00929375,0.0083375,0.2588875
Rowa,0.9264875,0.32061875,0.00041875,0.10240625,0.8604875,0.01420625,0.4390625,0.12651875,0.006075,0.0745,2.5e-5,0.001325,0.00044375,0.000925,0.70246875,0.49215,0.0505,0.0009875,0.0023125,0.3817875,0.48385,0.4778375,0.00015,0.4866125,0.00133125,0.23169375,0.0024125,0.10399375,0.00194375,0.31288125,0.5460375,0.00944375,0.001375,0.00300625,0.0020875,0.00868125,0.14771875
Sama,0.78881875,0.1554375,0.0001125,0.03730625,0.64256875,0.00255,0.2185,0.10811875,0.01740625,0.0166375,4.375e-5,0.00018125,3.75e-5,0.00018125,0.16060625,0.31136875,0.0158875,0.00204375,0.0003,0.07458125,0.187225,0.2596125,0.0006875,0.357925,0.00019375,0.21214375,0.00040625,0.04633125,0.0047625,0.13788125,0.3799,0.00310625,0.00405625,0.00275,0.0020375,0.01128125,0.0120125
Samasuma,0.7883625,0.148775,0.00015,0.03548125,0.638275,0.00258125,0.22040625,0.10578125,0.01811875,0.01661875,6.875e-5,0.0001375,6.25e-5,0.00015625,0.151075,0.29838125,0.0142625,0.0018125,0.0002875,0.0687875,0.181825,0.243775,0.0005625,0.3527875,0.000175,0.2088,0.00028125,0.04455625,0.0052875,0.137975,0.3767875,0.0024125,0.00405,0.0026375,0.0019125,0.0116125,0.01238125
St_Francois,0.02178125,0.01291875,0.8945125,0.523575,0.030675,0.866,0.2272625,0.004425,0.97018125,0.60890625,0.710775,0.00525,0.01436875,0.0193375,0.0690625,0.5725,0.3745375,0.00628125,0.00595,0.00460625,0.646775,0.91621875,0.9633875,0.000475,0.6388625,0.634925,0.21455,0.00586875,0.00263125,0.33693125,0.7136625,0.19206875,0.93663125,0.0062,0.96816875,0.37131875,0.13011875
Taenga,0.948675,0.31163125,0.0022375,0.0017375,0.0014625,0.747825,0.00138125,0.1530375,0.31435,0.0008375,0.0070875,0.00430625,0.002425,0.00215,0.24751875,0.00259375,0.14866875,0.0202625,0.01634375,0.01411875,0.42928125,0.0059,0.00458125,0.15136875,0.418075,0.0015125,0.00225,0.86865625,0.15189375,0.00135,0.9396,0.01714375,0.00113125,0.2047375,0.00116875,0.087225,0.01165
Tauere,0.9334625,0.36536875,0.01619375,0.00273125,0.001275,0.7419375,0.00140625,0.1610875,0.22184375,0.00185,0.01160625,0.0134,0.0181125,0.01599375,0.58661875,0.0101375,0.400925,0.0238375,0.05693125,0.04686875,0.407375,0.0384375,0.008325,0.155975,0.47781875,0.00175625,0.01714375,0.8297125,0.05554375,0.00270625,0.93406875,0.07823125,0.00189375,0.13241875,0.00158125,0.04893125,0.04590625
Tenaruga,0.9079375,0.19708125,0.02649375,0.00239375,0.0009625,0.6619125,0.00284375,0.1097375,0.12566875,0.00608125,0.00740625,0.0553375,0.033575,0.02791875,0.4986625,0.0218375,0.38165,0.01746875,0.34629375,0.03795,0.238075,0.0601,0.00500625,0.10445625,0.38464375,0.00298125,0.033175,0.77020625,0.0477625,0.00778125,0.90215,0.100175,0.00361875,0.1069625,0.00285,0.0460375,0.42771875
Tepoto,0.9082625,0.31120625,0.0031625,0.001825,0.00086875,0.6068875,0.00096875,0.1269125,0.38065,0.001175,0.0121625,0.00555625,0.0042,0.0032375,0.316075,0.00415,0.2204125,0.02625,0.01685625,0.01065625,0.31825,0.01063125,0.0082,0.1431875,0.33725625,0.00113125,0.0042625,0.786275,0.10340625,0.00144375,0.9112,0.0183625,0.00174375,0.11309375,0.0013625,0.06878125,0.01031875
Thiladhunmathi,0.028175,0.02940625,0.8914375,0.4849875,0.03248125,0.8859375,0.25631875,0.009175,0.92259375,0.43960625,0.4215,0.00445625,0.02513125,0.0863625,0.022,0.51700625,0.39236875,0.0060625,0.0094625,0.01535625,0.82353125,0.79541875,0.724325,0.0002875,0.50079375,0.62494375,0.23743125,0.010525,0.01434375,0.1674125,0.54438125,0.26296875,0.91604375,0.014175,0.886925,0.4426625,0.1705
Tuanake,0.92634375,0.2840625,0.00203125,0.00149375,0.00098125,0.65018125,0.0011625,0.13356875,0.366625,0.0008375,0.009075,0.0048,0.00261875,0.0019625,0.23669375,0.00304375,0.158025,0.02366875,0.01538125,0.00925625,0.3357625,0.00656875,0.00659375,0.1409375,0.34726875,0.0012875,0.00253125,0.82253125,0.1369125,0.00135625,0.92175625,0.0149,0.0014125,0.15201875,0.0014375,0.08105625,0.01069375
Vahitahi,0.93289375,0.30578125,0.0262625,0.00265,0.0012625,0.74470625,0.00275,0.1734875,0.17260625,0.00420625,0.01133125,0.037075,0.03394375,0.02654375,0.66240625,0.017675,0.452,0.02304375,0.1886625,0.06771875,0.34260625,0.06201875,0.00775625,0.1296125,0.4862375,0.0026375,0.031125,0.81598125,0.05298125,0.0059,0.92814375,0.12659375,0.00249375,0.14058125,0.00274375,0.0478375,0.20830625
West_Fayu,0.7450875,0.00858125,0.2043875,0.0045,0.81370625,0.0023875,0.01456875,0.0010125,0.00368125,0.02368125,0.0017875,0.0700125,0.071425,0.001075,0.0273,0.1886875,0.01336875,0.10771875,0.00379375,0.00073125,0.0246375,0.38574375,0.38924375,0.00155625,0.004925,0.009775,0.00489375,0.77938125,0.002675,0.00110625,0.06845625,0.0007625,0.00875625,0.0100875,0.48091875,0.00371875,0.010175
Woleai,0.77123125,0.01304375,0.2202125,0.00594375,0.82705625,0.0031375,0.01526875,0.00099375,0.00348125,0.02265,0.00125625,0.0611625,0.080325,0.001425,0.0319125,0.1891375,0.01574375,0.09596875,0.00308125,0.001,0.03620625,0.38919375,0.32685,0.0017,0.00575,0.01009375,0.00550625,0.8036375,0.002675,0.0008625,0.070525,0.00099375,0.009325,0.01101875,0.44503125,0.003675,0.0084375
