"","atoll","Anous_stolidus","Anous_minutus","Anous_tenuirostris","Anous_ceruleus","Gygis_alba","Onychoprion_fuscatus","Onychoprion_lunatus","Onychoprion_anaethetus","Sternula_nereis","Sternula_saundersi","Hydroprogne_caspia","Sterna_dougallii","Sterna_sumatrana","Thalasseus_bergii","Thalasseus_bengalensis","Phaethon_lepturus","Phaethon_rubricauda","Phoebastria_immutabilis","Phoebastria_nigripes","Phoebastria_albatrus","Nesofregetta_fuliginosa","Hydrobates_tristrami","Pterodroma_neglecta","Pterodroma_heraldica","Pterodroma_ultima","Pterodroma_hypoleuca","Pterodroma_alba","Bulweria_bulwerii","Ardenna_pacifica","Puffinus_nativitatis","Puffinus_bailloni","Fregata_ariel","Fregata_minor","Sula_dactylatra","Sula_granti","Sula_leucogaster","Sula_sula","PC1","PC2","PC3","PC4","PC5","PC6","region","species","presence"
"19","Atafu",1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.133317579527327,0.358313732041146,-0.241116724271071,1.09359131621746,-1.39332472881105,0.563051395441795,"Polynesia","Anous_stolidus",1
"20","Aur",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.461759846682458,-0.205573152398312,-1.14519218978005,-0.398782347564213,-0.192388812953858,0.0515693798939117,"Micronesia","Anous_stolidus",1
"21","Bangaram",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30668404636717,-0.976104935007451,0.533280752068902,-1.22798148054557,0.496260253355993,0.910457552025757,"Indian_Ocean","Anous_stolidus",0
"22","Beautemps-Beaupre",1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,1.41252284921782,-1.32938183880702,0.234842594506397,-1.64742573608404,1.80854059466007,-1.84035828925227,"Melanesia","Anous_stolidus",1
"23","Bellona",1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.982097336479743,-0.894154135083444,0.167037375417505,-2.90157276804157,1.45497905551246,-0.955773615610418,"Melanesia","Anous_stolidus",1
"24","Bikar",1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1.09242865157607,0.29975382090185,0.573538493015267,-0.710898770996201,0.0491467959435363,0.974024363360351,"Micronesia","Anous_stolidus",1
"25","Bikini",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0.113477940197418,0.199187996965104,-0.39589655269721,-0.899364112376101,-0.0480536933905614,-0.322841344506148,"Micronesia","Anous_stolidus",1
"26","Birnie",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,-0.698980979979789,0.89514240065243,2.97721843024634,-0.366588041918454,0.126291565459287,-0.321295917992426,"Polynesia","Anous_stolidus",1
"27","Bitra_Par",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.415027414285188,-0.964111399674559,1.05683055230055,-0.837094616187344,0.570543981581568,1.725668534925,"Indian_Ocean","Anous_stolidus",0
"28","Bokaak",1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1.13195446194092,0.741601391277514,-0.280898154915418,-0.942138756483797,-0.848099112501624,0.592945584517616,"Micronesia","Anous_stolidus",1
"29","Butaritari",1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-1.80446081985791,0.0172831875614707,-0.387849579843372,-0.173427412900112,-1.15021174598791,0.129368895628206,"Micronesia","Anous_stolidus",1
"30","Byramgore",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176575212605144,-1.03827364529876,1.56695704787797,-0.866705030287569,1.27308452065674,1.26554194647055,"Indian_Ocean","Anous_stolidus",1
"31","Caroline",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-0.146790145568999,1.21625842111177,0.774989769339557,-0.0154072513757649,-1.59641535629899,-0.808878747795364,"Polynesia","Anous_stolidus",1
"32","Cherbaniani",1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117019492976011,-1.27205044482917,1.26276033423306,-1.28837508612674,1.07389136648819,0.758744985573184,"Indian_Ocean","Anous_stolidus",1
"33","Chesterfield",1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1.30333423271959,-1.02874196582343,-0.793580573039717,-3.06767644996833,1.04638407145041,-1.7485584916663,"Melanesia","Anous_stolidus",1
"34","Clipperton",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,-0.58712541143417,-1.33950639302271,1.57435430235113,-0.993357331635147,-3.94517457058878,-1.14959860893034,"Polynesia","Anous_stolidus",1
"35","Cocos",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0.591626194372351,-0.386493548812555,-0.883999263763267,-1.9334756349362,-2.93047683331565,-0.092437873739162,"Indian_Ocean","Anous_stolidus",1
"36","Conflict",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.435283894953002,-1.03026950505886,-0.559943865255839,0.887614526268468,0.79670072160882,-1.2204486812531,"Melanesia","Anous_stolidus",0
"37","Cosmoledo",1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,-0.483684441461387,-0.364991640905451,0.186899636307898,-1.61779559031198,1.6458274530732,-1.38169714375408,"Indian_Ocean","Anous_stolidus",1
"38","Diego_Garcia",1,0,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,-1.00358051569015,0.317936025350743,-0.879441355179743,-0.450464287843171,-1.0628926299892,1.00265558611776,"Indian_Ocean","Anous_stolidus",1
"39","Ducie",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,1,2.24600356014962,1.40076519060683,1.06153486829101,0.266910399090465,-0.684951244706219,0.809930544422778,"Polynesia","Anous_stolidus",1
"40","Egmont",1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.189414533118222,-0.475921096088624,0.622765689367643,0.230633545469664,-1.24828976791901,0.395610996882131,"Indian_Ocean","Anous_stolidus",1
"41","Egum",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.736435865485461,-1.04096318580513,0.0250448628852857,0.849278825048948,0.423210836412041,-1.97921829750265,"Melanesia","Anous_stolidus",0
"42","Enderbury",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,-0.891742371721162,1.19920301548523,2.55312724049196,-0.522071109697274,-0.0878804141729419,-0.798260565996807,"Polynesia","Anous_stolidus",1
"43","Eniwetok",1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.304859898754922,0.0368877215330196,-1.19333232741282,-1.48553012554149,-1.2915429238251,-0.981748524198234,"Micronesia","Anous_stolidus",1
"44","Erikub",1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-0.0186993861028777,-0.179762117455963,-0.00815908759287611,-0.631271620099961,1.20781324478369,0.444783787249681,"Micronesia","Anous_stolidus",1
"45","Etal",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360618569562463,-0.875920290258693,-0.102639813090985,1.856238486015,1.01143921046266,0.505141729720983,"Micronesia","Anous_stolidus",1
