atoll,region,species,nbirds
2.0,3.0,3.0,6.2686445955797065
3.0,1.0,3.0,6.672839075626342
4.0,4.0,3.0,5.845864310711751
8.0,3.0,3.0,6.793881874189693
11.0,4.0,3.0,6.596107528370991
13.0,3.0,3.0,2.2574109802509357
14.0,4.0,3.0,6.184788406253379
15.0,4.0,3.0,6.051024897116253
16.0,4.0,3.0,6.144984686663713
18.0,4.0,3.0,6.038947030567813
20.0,3.0,3.0,5.507276768742064
21.0,4.0,3.0,6.072449880787897
24.0,3.0,3.0,5.923115902358279
35.0,3.0,3.0,6.263095596170856
47.0,3.0,3.0,3.409144582073348
50.0,4.0,3.0,6.986640512197736
51.0,4.0,3.0,5.956921474030266
58.0,4.0,3.0,6.719816151883036
59.0,4.0,3.0,7.0840684352646734
69.0,3.0,3.0,5.535429602185612
71.0,4.0,3.0,5.9467548839310815
72.0,4.0,3.0,6.05841360157028
79.0,3.0,3.0,5.716752938259068
83.0,3.0,3.0,6.547842585781239
86.0,3.0,3.0,4.060409296095251
87.0,3.0,3.0,3.6415494651052267
89.0,3.0,3.0,6.1409852622556205
90.0,3.0,3.0,5.434191368736442
96.0,4.0,3.0,6.190603223338553
97.0,4.0,3.0,6.234187963739256
99.0,3.0,3.0,6.130403668159761
100.0,4.0,3.0,5.700944420544177
103.0,4.0,3.0,6.5870256232067295
104.0,4.0,3.0,6.047606296721536
105.0,4.0,3.0,5.489462681855848
108.0,3.0,3.0,5.805228329770009
110.0,3.0,3.0,4.8394312152598395
112.0,4.0,3.0,6.587517777300862
113.0,4.0,3.0,5.999397217090923
116.0,3.0,3.0,4.452486053270929
119.0,3.0,3.0,6.259880836990019
122.0,4.0,3.0,6.891001964930812
123.0,4.0,3.0,6.699220633060142
124.0,3.0,3.0,3.001859007959711
126.0,4.0,3.0,5.930027718578343
129.0,2.0,3.0,5.53934889412967
130.0,4.0,3.0,6.627116246026733
132.0,3.0,3.0,6.565458978015333
133.0,2.0,3.0,5.540191026109127
135.0,2.0,3.0,3.9168447535132596
137.0,4.0,3.0,6.572305935803813
138.0,2.0,3.0,6.092422367752874
139.0,3.0,3.0,5.075538942217886
140.0,4.0,3.0,6.093829746804565
143.0,3.0,3.0,6.691489649643536
144.0,2.0,3.0,5.982170506912745
145.0,3.0,3.0,5.213079221026565
146.0,3.0,3.0,2.7452011925637176
147.0,4.0,3.0,7.35471177213291
148.0,4.0,3.0,6.371923637462836
149.0,4.0,3.0,6.399038953702635
150.0,3.0,3.0,4.730058406726422
153.0,4.0,3.0,6.160412675927368
154.0,4.0,3.0,6.582836390278021
158.0,2.0,3.0,5.455567470105913
159.0,4.0,3.0,6.0226877249635535
160.0,4.0,3.0,5.538934293412723
162.0,4.0,3.0,6.350097309853456
165.0,4.0,3.0,6.587810828589419
170.0,3.0,3.0,6.098653213545431
175.0,3.0,3.0,4.343649133055872
176.0,3.0,3.0,3.8519693026917086
179.0,1.0,3.0,6.167487632934816
182.0,3.0,3.0,6.875681594754228
185.0,4.0,3.0,5.929914311623068
186.0,4.0,3.0,5.699933774116409
187.0,4.0,3.0,6.2384451273235815
190.0,3.0,3.0,5.462601440168744
191.0,4.0,3.0,7.363099898674662
193.0,4.0,3.0,7.4994563457874035
197.0,4.0,3.0,7.744377875849213
200.0,4.0,3.0,5.478263458499834
201.0,4.0,3.0,7.4723448478454415
203.0,4.0,3.0,4.794927097631792
204.0,4.0,3.0,6.6881169904214115
205.0,3.0,3.0,5.992221670324564
206.0,3.0,3.0,6.162797767333597
207.0,3.0,3.0,5.094331332568559
210.0,4.0,3.0,6.880104136969743
211.0,4.0,3.0,5.9704296687000395
212.0,4.0,3.0,6.340779782357503
213.0,2.0,3.0,6.091151411117461
216.0,3.0,3.0,6.27844697139716
217.0,3.0,3.0,6.192957496469841
2.0,3.0,2.0,7.576088546116168
4.0,4.0,2.0,5.8512127142148245
8.0,3.0,2.0,7.401184632429994
14.0,4.0,2.0,5.3889146648495645
15.0,4.0,2.0,5.195078269646971
16.0,4.0,2.0,6.565337606608347
17.0,3.0,2.0,7.382121989225306
18.0,4.0,2.0,6.115339948808987
20.0,3.0,2.0,7.086174744742504
21.0,4.0,2.0,6.553121775310821
24.0,3.0,2.0,7.270549461179601
27.0,2.0,2.0,8.73326233902588
44.0,2.0,2.0,8.223590440729238
47.0,3.0,2.0,5.50863735611985
50.0,4.0,2.0,5.588971867032174
51.0,4.0,2.0,5.831524199395062
52.0,4.0,2.0,5.665490460150103
58.0,4.0,2.0,5.603299618575949
59.0,4.0,2.0,6.391369272800581
69.0,3.0,2.0,6.977368105785361
71.0,4.0,2.0,6.030253247357254
72.0,4.0,2.0,6.4783038003987095
79.0,3.0,2.0,7.030015324118232
86.0,3.0,2.0,6.4021362419811805
87.0,3.0,2.0,5.645119287473395
89.0,3.0,2.0,7.871382246902193
90.0,3.0,2.0,6.998063621739552
96.0,4.0,2.0,6.270515852496868
97.0,4.0,2.0,5.501265353111309
99.0,3.0,2.0,7.659811336356578
100.0,4.0,2.0,4.891630002817616
103.0,4.0,2.0,5.9835483211533145
104.0,4.0,2.0,6.521626716771477
105.0,4.0,2.0,4.878679719029199
108.0,3.0,2.0,7.199610382567713
110.0,3.0,2.0,6.602875909889471
112.0,4.0,2.0,5.715830129916366
116.0,3.0,2.0,6.478060748946357
119.0,3.0,2.0,7.845987735159135
123.0,4.0,2.0,5.752498990646902
126.0,4.0,2.0,6.226953070840508
129.0,2.0,2.0,8.122632624765322
130.0,4.0,2.0,6.538323217845144
132.0,3.0,2.0,7.659198720941662
133.0,2.0,2.0,7.841036717188373
135.0,2.0,2.0,6.685894952956918
137.0,4.0,2.0,6.806135777043884
138.0,2.0,2.0,8.17281895605377
139.0,3.0,2.0,6.56965224588789
140.0,4.0,2.0,5.193090360794436
143.0,3.0,2.0,7.434434992830905
144.0,2.0,2.0,8.529197349776089
145.0,3.0,2.0,7.126300695046112
146.0,3.0,2.0,5.937955779849833
148.0,4.0,2.0,5.337285256149251
149.0,4.0,2.0,5.4207447849365185
150.0,3.0,2.0,6.45202945136937
153.0,4.0,2.0,5.700520048876151
154.0,4.0,2.0,5.25643676785404
159.0,4.0,2.0,5.439031189421045
160.0,4.0,2.0,6.065207526405841
162.0,4.0,2.0,5.747173159369972
165.0,4.0,2.0,5.265840766662434
167.0,4.0,2.0,5.791248831402102
170.0,3.0,2.0,7.277004090108579
171.0,3.0,2.0,7.007942292900086
175.0,3.0,2.0,6.3548301385321535
176.0,3.0,2.0,5.858714625506923
182.0,3.0,2.0,7.711172147373917
185.0,4.0,2.0,5.82010933265545
186.0,4.0,2.0,5.798441050699924
188.0,4.0,2.0,5.266012933979065
190.0,3.0,2.0,7.632329337739697
191.0,4.0,2.0,5.868535714248043
197.0,4.0,2.0,6.993574630946069
198.0,4.0,2.0,5.664808024282252
200.0,4.0,2.0,6.095528982932789
201.0,4.0,2.0,6.931185211335609
205.0,3.0,2.0,7.328958727279259
206.0,3.0,2.0,7.31637391883903
207.0,3.0,2.0,7.984941317234758
210.0,4.0,2.0,5.861019666050417
211.0,4.0,2.0,5.90499016266185
213.0,2.0,2.0,8.272658349728113
216.0,3.0,2.0,7.337441296377903
217.0,3.0,2.0,6.977864720262819
38.0,1.0,4.0,8.530374954017732
16.0,4.0,1.0,1.5775190157351429
18.0,4.0,1.0,1.6453155054747892
58.0,4.0,1.0,2.0491599099429894
100.0,4.0,1.0,2.19402713858279
160.0,4.0,1.0,0.9814116925515836
162.0,4.0,1.0,1.619154890728156
177.0,4.0,1.0,1.2673956822033803
183.0,4.0,1.0,2.960149051796847
197.0,4.0,1.0,2.5005681484548767
200.0,4.0,1.0,1.0994860688414445
201.0,4.0,1.0,2.343587918672128
2.0,3.0,9.0,6.042013804790982
3.0,1.0,9.0,5.343889820505549
8.0,3.0,9.0,6.686127995179084
11.0,4.0,9.0,6.314917158994801
13.0,3.0,9.0,3.816567532052669
14.0,4.0,9.0,5.7338670516730925
15.0,4.0,9.0,5.531550387324428
16.0,4.0,9.0,5.74845846392372
17.0,3.0,9.0,5.909834968049071
18.0,4.0,9.0,5.626790165691031
20.0,3.0,9.0,5.47839002891211
24.0,3.0,9.0,5.873618319372726
27.0,2.0,9.0,4.5147292883725045
50.0,4.0,9.0,6.453116990546212
51.0,4.0,9.0,5.232146592128134
58.0,4.0,9.0,6.727134514053486
59.0,4.0,9.0,6.221764082876838
69.0,3.0,9.0,5.596019313325999
71.0,4.0,9.0,5.8023021399625
72.0,4.0,9.0,5.701654800844423
79.0,3.0,9.0,5.7541499193420185
83.0,3.0,9.0,6.525153567272803
87.0,3.0,9.0,4.239776718999708
89.0,3.0,9.0,5.902897347036633
90.0,3.0,9.0,5.258571409541771
96.0,4.0,9.0,5.825083593842039
97.0,4.0,9.0,5.5982028069822505
99.0,3.0,9.0,5.62042802557178
100.0,4.0,9.0,6.0349995741012625
103.0,4.0,9.0,6.697438890785471
104.0,4.0,9.0,5.728966992650886
105.0,4.0,9.0,5.774412067165122
108.0,3.0,9.0,5.679546434202307
110.0,3.0,9.0,4.857779626161188
112.0,4.0,9.0,6.589829295876517
113.0,4.0,9.0,5.392399411507883
116.0,3.0,9.0,4.562604808281838
119.0,3.0,9.0,5.99201765288022
122.0,4.0,9.0,6.47074940668247
123.0,4.0,9.0,6.346739695460957
124.0,3.0,9.0,3.126276686266875
126.0,4.0,9.0,5.291227613074992
129.0,2.0,9.0,3.96314671800573
130.0,4.0,9.0,4.792375804622256
132.0,3.0,9.0,6.365272089771133
133.0,2.0,9.0,3.381863361933387
135.0,2.0,9.0,2.8586350120057573
137.0,4.0,9.0,5.129179246840492
138.0,2.0,9.0,4.320294177307233
140.0,4.0,9.0,5.628155023770925
143.0,3.0,9.0,6.511447335662305
144.0,2.0,9.0,4.417462171972375
145.0,3.0,9.0,4.73808190563913
146.0,3.0,9.0,3.8518213558022056
147.0,4.0,9.0,6.02759999729395
149.0,4.0,9.0,5.931207022283763
150.0,3.0,9.0,4.582903764330032
153.0,4.0,9.0,5.318082394977669
152.0,4.0,9.0,6.605790606853175
154.0,4.0,9.0,6.649876949172907
159.0,4.0,9.0,5.32597338942914
160.0,4.0,9.0,5.78349339548916
162.0,4.0,9.0,6.333090769190719
165.0,4.0,9.0,6.7909495477215405
170.0,3.0,9.0,6.754064667322469
175.0,3.0,9.0,4.660949677369504
176.0,3.0,9.0,4.437465409488487
182.0,3.0,9.0,6.817681691701026
185.0,4.0,9.0,5.843309903860584
186.0,4.0,9.0,5.55550365010128
188.0,4.0,9.0,5.80305017056401
190.0,3.0,9.0,5.4460933296200436
193.0,4.0,9.0,6.856255885784292
198.0,4.0,9.0,5.07250193907856
200.0,4.0,9.0,5.48772200904617
201.0,4.0,9.0,6.281718923522364
203.0,4.0,9.0,5.10122775565581
204.0,4.0,9.0,6.431868725267812
205.0,3.0,9.0,5.882803184421071
206.0,3.0,9.0,6.448051748367379
207.0,3.0,9.0,4.950165834238007
208.0,3.0,9.0,5.857557027212184
210.0,4.0,9.0,6.339962607385924
211.0,4.0,9.0,4.823322281149679
212.0,4.0,9.0,6.176123675625665
213.0,2.0,9.0,4.408334988190416
216.0,3.0,9.0,6.2301949688292435
217.0,3.0,9.0,6.070349225469107
8.0,3.0,14.0,9.71401699839505
16.0,4.0,14.0,10.486629372057463
17.0,3.0,14.0,9.663766201022433
22.0,1.0,14.0,10.590567179222202
27.0,2.0,14.0,9.531479512310828
30.0,3.0,14.0,10.041829180299091
31.0,4.0,14.0,10.200447905643362
35.0,3.0,14.0,8.570027870739144
55.0,4.0,14.0,7.9854680294143705
62.0,2.0,14.0,9.778651089473913
66.0,3.0,14.0,9.37412700131833
67.0,3.0,14.0,8.576185097649732
77.0,3.0,14.0,9.410855887803578
103.0,4.0,14.0,10.40555385688148
124.0,3.0,14.0,6.966716368061214
132.0,3.0,14.0,9.669908338105767
141.0,4.0,14.0,9.782499332300787
143.0,3.0,14.0,9.667641003822835
