atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Namonuito,0.9236,0.9572,0.0018,0.0722,0.7444,0.4068,0.0878,0.006,0.0008,0.0014,0.0042,0.0068,0.7178,0.822,0.0012,0.2926,0.141,0.0036,0.012,0.0038,0.0026,0.0018,0.002,0.0036,0.0004,0.001,0.003,0.0134,0.1522,0.0154,0.0006,0.1062,0.689,0.0238,0.0032,0.4344,0.5552
Namorik,0.9092,0.9086,0.0024,0.021,0.9048,0.1986,0.0292,0.0144,0.0018,0.0008,0.001,0.0022,0.494,0.7292,0.0002,0.1314,0.1562,0.0016,0.0058,0.0006,0.005,0.0006,0.0012,0.0048,0.0002,0.0,0.0006,0.0032,0.055,0.0052,0.0004,0.144,0.4886,0.0066,0.0,0.2914,0.3446
Nanumanga,0.728,0.7086,0.0016,0.0436,0.9216,0.1914,0.0642,0.004,0.0022,0.0004,0.0002,0.0,0.0194,0.1056,0.006,0.0462,0.3898,0.0048,0.0084,0.0028,0.0182,0.0024,0.0006,0.0366,0.0,0.0038,0.005,0.0044,0.0104,0.0082,0.0316,0.4564,0.1062,0.042,0.001,0.4664,0.3438
Nanumea,0.7618,0.7586,0.0042,0.05,0.9524,0.2156,0.0982,0.0038,0.0018,0.0006,0.0002,0.0004,0.0248,0.1042,0.0064,0.0512,0.4068,0.004,0.0058,0.0032,0.0214,0.0042,0.0008,0.0226,0.0006,0.0018,0.0086,0.0056,0.0134,0.0102,0.0382,0.5666,0.1228,0.0274,0.0002,0.5048,0.4012
Ngulu,0.9576,0.9688,0.0022,0.1368,0.6546,0.479,0.0306,0.0076,0.001,0.0012,0.0166,0.0272,0.8306,0.8438,0.0008,0.4552,0.1104,0.0022,0.0304,0.002,0.0024,0.0064,0.0036,0.0026,0.004,0.0062,0.0034,0.044,0.2536,0.0302,0.0006,0.0964,0.8024,0.0172,0.001,0.285,0.634
Nihiru,0.854,0.798,0.003,0.0602,0.8982,0.4618,0.2208,0.0026,0.0006,0.0012,0.0008,0.0006,0.0538,0.1774,0.006,0.104,0.3288,0.0156,0.0026,0.0108,0.008,0.0036,0.0006,0.0038,0.0012,0.0054,0.0152,0.011,0.0176,0.0224,0.0148,0.3892,0.2668,0.6902,0.1132,0.7468,0.6786
Nikunau,0.965,0.984,0.083,0.1518,0.999,0.6558,0.2008,0.3202,0.0214,0.0016,0.0054,0.0078,0.7658,0.8058,0.0002,0.4366,0.433,0.0112,0.0162,0.008,0.119,0.0024,0.0056,0.0084,0.0022,0.003,0.015,0.0198,0.3128,0.0452,0.0326,0.8272,0.7298,0.0108,0.0002,0.489,0.8012
Nomwin,0.7674,0.682,0.0004,0.0046,0.5794,0.1,0.0194,0.0018,0.0002,0.001,0.0008,0.001,0.3178,0.6468,0.0006,0.0534,0.0778,0.0016,0.0026,0.0006,0.0004,0.0,0.0004,0.0014,0.0002,0.0008,0.0,0.0022,0.0136,0.003,0.0,0.0226,0.3592,0.0922,0.0116,0.3086,0.1758
Nui,0.6636,0.6024,0.0022,0.0266,0.8974,0.1314,0.1018,0.0008,0.0008,0.0002,0.0002,0.0,0.0122,0.074,0.0102,0.0214,0.3292,0.0042,0.0036,0.003,0.0116,0.0016,0.0,0.0352,0.0002,0.0016,0.0034,0.0038,0.0056,0.0054,0.0212,0.3796,0.0678,0.0618,0.0004,0.5606,0.2532
Nukufetau,0.742,0.6154,0.0012,0.0256,0.8514,0.1406,0.083,0.0008,0.0008,0.0,0.0004,0.0,0.0116,0.0632,0.0062,0.0232,0.1936,0.0032,0.0016,0.001,0.0078,0.0036,0.0002,0.0166,0.0002,0.002,0.0034,0.0056,0.0036,0.0036,0.01,0.255,0.0902,0.096,0.0006,0.5384,0.2908
