atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Nanumanga,0.7792,0.6534,0.0018,0.0474,0.9114,0.2144,0.0876,0.0048,0.0046,0.0032,0.0018,0.0002,0.0292,0.1108,0.0066,0.0646,0.4172,0.0094,0.0174,0.0072,0.0268,0.0074,0.008,0.053,0.006,0.0072,0.0114,0.0064,0.017,0.0174,0.0416,0.354,0.1636,0.0552,0.0006,0.4712,0.457
Nanumea,0.8144,0.7024,0.0038,0.059,0.9292,0.2258,0.1144,0.004,0.003,0.0022,0.0012,0.0008,0.0292,0.1174,0.0086,0.0706,0.4324,0.0126,0.0146,0.0054,0.0324,0.0082,0.0098,0.0318,0.0058,0.0054,0.0126,0.0098,0.0246,0.0174,0.0506,0.4086,0.1646,0.0374,0.0002,0.4918,0.499
Ngulu,0.9786,0.9848,0.0042,0.1834,0.8432,0.5652,0.0578,0.015,0.0036,0.0046,0.0174,0.0256,0.8392,0.84,0.0022,0.4544,0.1022,0.006,0.0384,0.0036,0.0074,0.0098,0.0116,0.0042,0.0052,0.0108,0.0104,0.041,0.3346,0.0454,0.0028,0.1504,0.7892,0.0598,0.006,0.3618,0.6922
Nihiru,0.88,0.7632,0.0026,0.069,0.885,0.368,0.1936,0.0028,0.0004,0.0028,0.0022,0.0014,0.0446,0.1636,0.0074,0.09,0.3542,0.0166,0.0066,0.0138,0.0154,0.0102,0.0082,0.0068,0.0076,0.0086,0.017,0.0122,0.026,0.0304,0.0234,0.2782,0.2628,0.399,0.023,0.6718,0.6458
Nikunau,0.9664,0.9778,0.0354,0.1032,0.9896,0.6232,0.1802,0.154,0.0266,0.005,0.0126,0.0132,0.7804,0.8344,0.0022,0.4166,0.4374,0.0168,0.0326,0.0122,0.077,0.0046,0.0088,0.0174,0.007,0.0052,0.0288,0.0178,0.2272,0.0472,0.0244,0.6002,0.7294,0.009,0.0002,0.4798,0.7588
Nomwin,0.8936,0.8302,0.001,0.0102,0.7946,0.1468,0.0328,0.0056,0.0012,0.0022,0.003,0.0012,0.3786,0.6738,0.003,0.071,0.0802,0.0022,0.0056,0.0026,0.003,0.0012,0.0018,0.0022,0.001,0.0018,0.0008,0.0048,0.0274,0.0038,0.0012,0.0586,0.3912,0.146,0.017,0.3608,0.2332
Nui,0.7428,0.5654,0.003,0.03,0.8866,0.1554,0.114,0.0026,0.003,0.002,0.001,0.0,0.0164,0.092,0.014,0.0366,0.3556,0.0096,0.0066,0.0058,0.0196,0.0046,0.0052,0.0482,0.0028,0.0046,0.007,0.006,0.0102,0.0122,0.0398,0.3002,0.11,0.067,0.0008,0.548,0.3562
Nukufetau,0.7818,0.5886,0.0018,0.0372,0.8594,0.1692,0.0988,0.0022,0.0014,0.0026,0.0012,0.0006,0.019,0.0782,0.0086,0.0362,0.22,0.0074,0.0034,0.0026,0.0164,0.0072,0.002,0.0234,0.0054,0.0038,0.005,0.0092,0.0108,0.011,0.0198,0.2178,0.1432,0.1096,0.0018,0.5102,0.377
Olimarao,0.964,0.9418,0.0024,0.0468,0.8446,0.406,0.0188,0.0092,0.0032,0.0052,0.007,0.0068,0.7476,0.8126,0.001,0.3002,0.0914,0.0072,0.0156,0.0026,0.0064,0.004,0.0048,0.0052,0.004,0.0038,0.002,0.014,0.101,0.0174,0.0018,0.0818,0.7052,0.1708,0.0226,0.2946,0.5576
Pinipel,0.3978,0.3362,0.0224,0.0018,0.5686,0.0286,0.0008,0.118,0.0344,0.0022,0.002,0.0214,0.2196,0.0936,0.0024,0.1174,0.0324,0.0006,0.001,0.0042,0.015,0.0024,0.0002,0.028,0.0018,0.0016,0.0024,0.0012,0.0366,0.0,0.0156,0.4342,0.1324,0.0182,0.0006,0.1434,0.1138
Pulap,0.927,0.8836,0.0014,0.0182,0.836,0.2144,0.025,0.0076,0.002,0.0026,0.0022,0.003,0.5048,0.719,0.0028,0.1222,0.081,0.0068,0.0068,0.002,0.005,0.0012,0.0012,0.0064,0.0018,0.0022,0.0012,0.0056,0.0474,0.005,0.0006,0.0672,0.4918,0.0924,0.0084,0.3236,0.3294
Pulusuk,0.9272,0.8686,0.0008,0.0172,0.8436,0.2288,0.0226,0.0102,0.0028,0.0048,0.0034,0.0042,0.5302,0.7424,0.002,0.1372,0.101,0.006,0.0132,0.0014,0.0044,0.0014,0.0032,0.008,0.003,0.0022,0.0014,0.0044,0.0468,0.0096,0.0022,0.072,0.4884,0.1224,0.0134,0.331,0.3628
Puluwat,0.9126,0.8158,0.002,0.0104,0.839,0.1706,0.0254,0.0094,0.001,0.004,0.0024,0.0026,0.4664,0.6844,0.0032,0.0894,0.0718,0.0038,0.0056,0.0006,0.0022,0.0004,0.0012,0.0056,0.001,0.0014,0.0008,0.0044,0.0294,0.0036,0.0024,0.0688,0.4362,0.13,0.014,0.3038,0.2738
Rasdhoo,0.723,0.0112,0.4208,0.0068,0.633,0.3066,0.0016,0.2072,0.0052,0.0302,0.1158,0.2668,0.5096,0.5034,0.0806,0.5106,0.055,0.002,0.0012,0.0026,0.0094,0.0032,0.0128,0.0114,0.0302,0.0028,0.004,0.003,0.0266,0.0012,0.083,0.2956,0.406,0.0168,0.002,0.0696,0.3364
Ravahere,0.8818,0.6894,0.0004,0.0562,0.812,0.366,0.1196,0.0014,0.0012,0.007,0.0014,0.0014,0.0544,0.1752,0.0066,0.1098,0.273,0.0232,0.003,0.0106,0.0106,0.0122,0.008,0.0036,0.0118,0.0132,0.0128,0.015,0.02,0.0338,0.0166,0.1818,0.3176,0.7316,0.1552,0.6326,0.6476
