"","nppv","chl","phyc","temp","velo","atoll","lat","long","Anous_stolidus","Anous_minutus","Anous_tenuirostris","Anous_ceruleus","Gygis_alba","Onychoprion_fuscatus","Onychoprion_lunatus","Onychoprion_anaethetus","Sternula_nereis","Sternula_saundersi","Hydroprogne_caspia","Sterna_dougallii","Sterna_sumatrana","Thalasseus_bergii","Thalasseus_bengalensis","Phaethon_lepturus","Phaethon_rubricauda","Phoebastria_immutabilis","Phoebastria_nigripes","Phoebastria_albatrus","Nesofregetta_fuliginosa","Hydrobates_tristrami","Pterodroma_neglecta","Pterodroma_heraldica","Pterodroma_ultima","Pterodroma_hypoleuca","Pterodroma_alba","Bulweria_bulwerii","Ardenna_pacifica","Puffinus_nativitatis","Puffinus_bailloni","Fregata_ariel","Fregata_minor","Sula_dactylatra","Sula_granti","Sula_leucogaster","Sula_sula"
"14",2.30504878066028,0.157173508463582,0.827709836579167,3.4217430069886,0.0631725309679513,"Analtin",-1.1263,144.3952,0.66744375,0.0499,0.00331875,0.81115625,0.01606875,0.00540625,0.00310625,0.01220625,0.00273125,6.25e-05,0.0018875,0.2280125,0.07495,0.0028375,0.18686875,0.3567625,0.1528375,3.125e-05,0.2877875,0.0002875,0.23939375,0.2155875,0.00016875,9.375e-05,0.01401875,0.00026875,0.00056875,0.1427125,0.39996875,0.00181875,0.0001125,0.11154375,0.14261875,0.017025,0.0002375,0.01319375,0.0363375
"15",1.2177074402639,0.08218309601211,0.758476362409621,3.40953356141608,0.0660133118065556,"Ant",6.7819444,157.9166667,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"16",0.834286467087389,0.072978592981898,0.732866261449186,3.31572559712441,0.0626224999912567,"Anuanuraro",-20.436,216.4645,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"17",0.780613423324197,0.0707397616005363,0.724089299863068,3.31184072902733,0.0644829816984079,"Anuanurunga",-20.6135,216.713,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"18",1.93632085130244,0.129851396533294,0.851175968766693,3.36979779159859,0.0469666963156063,"Apataki",-15.4527,213.6752,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",2.58206530522011,0.186376465701361,0.906620824845604,3.40263719762887,0.0758934077092682,"Aranuka",0.1659,173.6088,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1.82553390850806,0.122044923333916,0.838821786688023,3.36748886870444,0.0462226491663419,"Aratika",-15.5392,214.4706,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"21",1.87111749233883,0.118865444080789,0.851422529894453,3.4041454263281,0.095293002781662,"Ari",3.83,72.85,0.04746875,0.0143625,0.01956875,0.04536875,0.32508125,0.01745625,0.82996875,0.53205625,0.12025,0.35335,0.893375,0.59824375,0.0058875,0.919575,0.82059375,0.0004875,0.01089375,0.00406875,0.3362,0.07096875,0.295675,0.6151125,0.00230625,0.7413,0.120225,0.0044375,0.71249375,0.01691875,0.66871875,0.0047375,0.01520625,0.0066875,0.142175,0.94044375,0.5622875,0.18375,0.4461625
"22",2.07881084443592,0.138435134472162,0.820217160157991,3.39822709238803,0.088795883512652,"Arno",7.081172,171.6562687,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",1.9453496155351,0.130632633809217,0.850727841750062,3.3700281806221,0.0462895025021899,"Arutua",-15.3217,213.258,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1.97875090007618,0.142907993482366,0.859093318323842,3.33478890509141,0.100938219529737,"Astove",-10.087218,47.745384,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1.45527126316574,0.0990378855436462,0.764204461754888,3.41553086136252,0.0489407256673047,"Atafu",-8.5602,187.5071,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"26",1.78412357106526,0.115083406359525,0.804472256836092,3.39122295097981,0.0813590062401917,"Aur",8.255,171.0935,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2.43310327024838,0.169822523452702,0.838593833230685,3.41944464305347,0.0720669273423165,"Awin",-1.649,144.0179,0.62615625,0.0439625,0.00234375,0.77731875,0.0174125,0.0053875,0.0049125,0.01158125,0.00285,1e-04,0.00204375,0.2698125,0.0780375,0.00248125,0.19651875,0.35783125,0.1653875,6.875e-05,0.3155,0.0003375,0.2078,0.21131875,0.0001125,0.0001875,0.009475,0.00025625,0.00071875,0.17054375,0.3675125,0.0019375,0.000275,0.11255625,0.1301875,0.0191875,0.00015,0.017525,0.03931875
"28",1.82230168463586,0.1164057930316,0.849726460528769,3.40208442159879,0.086965966125747,"Baa",4.8529,72.9244,0.04085625,0.010075,0.00791875,0.02909375,0.40324375,0.004475,0.9113375,0.42959375,0.1045875,0.44724375,0.92914375,0.7757375,0.00326875,0.905375,0.7583,0.00058125,0.0214,0.005125,0.41658125,0.095475,0.21630625,0.62855,0.00249375,0.8221125,0.100925,0.0038375,0.845125,0.0124625,0.7291625,0.00345625,0.01100625,0.00295,0.1862,0.949275,0.62105,0.22526875,0.50004375
"29",1.58161644032996,0.103941001371968,0.871303861063234,3.39903403037628,0.105318362462471,"Bangaram",10.9128,72.2279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",1.12058250679182,0.0912940085269921,0.79143220686466,3.29191791810148,0.0824104426266352,"Beautemps-Beaupre",-20.3455,166.1691,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1
"31",1.34605539363216,0.110188873865118,0.789573736874462,3.26315465064273,0.0831146142352377,"Bellona",-21.156,158.9917,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1
"32",2.23014927194994,0.151549285469984,0.873706994016945,3.40573094623094,0.0725937201019564,"Beru",-1.3215,175.9784,0.88365625,0.86904375,0.11715625,0.78511875,0.01386875,0.00505,0.037375,0.00306875,0.04858125,0.11299375,0.70005625,0.7140625,0.0207125,0.00425,0.0251125,0.00236875,0.04489375,0.19469375,0.3730625,0.01326875,0.01291875,0.04116875,0.03783125,0.85378125,0.00074375,0.0006625,0.99391875,0.01555625,0.21715625,0.6664875,0.0318375,0.0215125,0.00193125,0.01226875,0.01125,0.025225,0.01019375
"33",0.830030266865915,0.0687536017405236,0.726848091906844,3.37065409617536,0.0632824624282667,"Bikar",12.25111,170.10303,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1
"34",1.37656136098605,0.0930329332140097,0.808388292709342,3.37959941657679,0.0732081266435015,"Bikini",11.5391494,165.2716261,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
"35",2.13234517299906,0.148275499190669,0.874168331223436,3.39815801524758,0.0488596439853674,"Birnie",-3.5847,188.4831,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
"36",1.60607267877413,0.105552678391874,0.875409379105652,3.39802818072018,0.100463377575181,"Bitra_Par",11.5482,72.1636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",0.654059374240844,0.0624328413772745,0.715818478516815,3.36554370822323,0.0571996151576308,"Bokaak",14.6559,168.9733,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1
"38",1.78354123428709,0.119700914799484,0.852866732173413,3.37119520760642,0.0773397997078942,"Bramble_Haven",-11.2299,152.0092,0.57980625,0.03215,0.00223125,0.7603375,0.05080625,0.00390625,0.0048375,0.00880625,0.01536875,9.375e-05,0.003075,0.62898125,0.25428125,0.002575,0.20145625,0.267125,0.42179375,0.00043125,0.61385625,0.0023125,0.284175,0.21991875,0.00036875,0.000775,0.0454875,0.000775,0.00095625,0.23804375,0.30535625,0.0021625,0.00128125,0.19511875,0.25525,0.0165375,0.00025,0.0619,0.036025
"39",2.32558639656085,0.164011065749843,0.864898845391754,3.39440411774197,0.0975700466555608,"Budibudi",-9.2862,153.6736,0.5682875,0.0364125,0.00168125,0.7500625,0.02951875,0.00489375,0.0071125,0.01071875,0.00518125,7.5e-05,0.0023375,0.4202,0.1386,0.00261875,0.26109375,0.31996875,0.28315,0.00015625,0.42615625,0.00078125,0.21021875,0.2021875,0.0001375,0.00030625,0.00923125,0.00020625,0.0007875,0.28130625,0.3047,0.002425,0.00046875,0.1462,0.141175,0.0228125,0.00020625,0.0413875,0.0465
"40",2.39409981195493,0.171092062528472,0.876286105297266,3.40562924800088,0.104853153128485,"Butaritari",3.152,172.8311,1,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
"41",1.60058447750294,0.105253549075727,0.874623714039741,3.39719960237956,0.0988351197337749,"Byramgore",11.8942,71.8011,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
