parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
α_sxr[1],-2.418767729998063,0.6058126585210796,0.0036679794915464177,28194.996124714555,15561.994073393676,1.000594386008324,4.681238437981104
α_sxr[2],-2.250874246976508,0.6166099941371569,0.003533524637727747,32484.917628309828,12855.123253258978,1.0010920492947801,5.393497639923279
α_sxr[3],0.6547084460166378,0.4506954825207999,0.0030800570800393395,21408.385823362343,15235.572447206778,1.000103988699078,3.5544519377893034
α_sxr[4],-0.8080706806165657,0.4730011648429072,0.002960989572857649,25685.505510956453,15215.25436303861,1.000098807465982,4.2645856436726906
α_sxr[5],-1.1356034145302407,0.49547241004997084,0.004156658184258853,14290.44178378162,14118.928114105438,1.0001985567456662,2.372653824035489
α_sxr[6],-2.682159910930749,0.6019527401232246,0.003597287141748747,28536.074285447754,14604.814398623541,0.9999981580187195,4.737867926040533
α_sxr[7],-1.1262221279694762,0.45579765238329656,0.002797267026256407,26632.603415477413,14900.968435164243,1.0002219777191124,4.421833089125913
α_sxr[8],-1.0706621474997404,0.45519500426227993,0.0027713093758548876,27089.129484675344,14997.149439631756,1.00006317846371,4.497630488551568
α_sxr[9],0.21663907506129507,0.4279900029566716,0.0027104167951586904,24954.93723277532,15782.871911377473,1.0000376404146318,4.143288790491235
α_sxr[10],-2.470761375444155,0.6058942218199341,0.0037006252317888463,27798.755037475825,12691.48417308511,1.0006161059197265,4.61545020378222
α_sxr[11],-1.5191663089555052,0.5205682915503581,0.003240158779984053,26051.03764110065,15822.166653078923,1.0005525974534932,4.325275244422386
α_sxr[12],-2.4051519608894205,0.6123426063380701,0.0036510274235042545,29351.86371947016,13548.159422160425,1.0005691136298138,4.873314117944671
α_sxr[13],-1.284787322844687,0.5004074144266751,0.0031315192663920323,25655.5991196236,14914.413046328698,1.0006690265345666,4.25962026087819
α_sxr[14],-0.593101926293414,0.43415253519806446,0.002728053530083559,25289.611087184734,15243.91194749271,0.9999047564116839,4.198854966294868
α_sxr[15],-2.789771539536259,0.5840998708441694,0.0034943146233850633,28819.4548198436,15145.562152480928,1.000398568529388,4.784917829658949
α_sxr[16],-0.18808946054972697,0.44222001196958344,0.00296699590919535,22209.418309071756,15111.929357650592,1.0000415518988444,3.6874480214059817
α_sxr[17],-1.5083625531672413,0.47910773652079053,0.0029606223759743966,26390.74393190316,14711.42720092088,1.0002374981406836,4.381676959786863
α_sxr[18],-2.4016121058033573,0.6130345911548499,0.003784882048225481,26812.702358944058,14768.837551483695,1.000186044164737,4.45173506510302
α_sxr[19],-2.6504053599741106,0.5988705158337746,0.0038055389865727443,25167.127346631947,15726.819747091884,1.0003748206010752,4.178518889929856
α_sxr[20],-2.650900686202248,0.5988862433499622,0.0036477071677029787,27877.304165920577,13635.536848219177,1.0000649480387795,4.628491780298812
α_sxr[21],-2.398229189713267,0.6000716069385529,0.0037907697443110497,26055.541597650586,14347.928165970554,1.0001094897146925,4.326023040039427
α_sxr[22],-2.2556680068140276,0.6186178316972863,0.0037495303330829332,27971.048117905077,14960.80760910239,1.0000113542270255,4.644056165887552
α_sxr[23],-2.6107807253357502,0.5995029652118385,0.0037796379544985594,26159.893297356877,14036.245298385531,1.0001963582240574,4.343348638722718
α_sxr[24],-2.2043761189244826,0.6239105720524131,0.004237259354755774,21898.141625292814,14828.094045461525,1.0000699160357847,3.6357664971203305
α_sxr[25],-2.183012967348492,0.6391147720468326,0.004620825902422408,19056.094592942423,13548.809613120215,1.0002663376722154,3.163899086621672
α_sxr[26],-1.3714117238384964,0.4854948505966028,0.003226536623147688,22710.001637364687,15900.045761144667,1.0000194537706926,3.770560283860357
α_sxr[27],-2.727948513678241,0.592704844602808,0.0038351252562246778,24455.712104438513,14414.368187431244,1.0001402771646997,4.06040203109467
α_sxr[28],-1.2390895425351796,0.4959161741322695,0.003018930406732501,27386.060991427305,15205.762417922851,1.0000894370780447,4.546930271275655
α_sxr[29],0.2569836223149693,0.42857548695923886,0.002810669139663721,23285.24317629929,15454.130464238135,1.000221496346904,3.8660681105425403
α_sxr[30],-2.43448739522489,0.6108155508069922,0.003698653871504236,28043.572336218764,14188.998742328136,1.0000766407333974,4.6560974216108315
α_sxr[31],-2.035459593563607,0.5738358699069765,0.003775818733625609,23468.58482287726,12851.789053454055,1.0001788019309932,3.896508475189061
α_sxr[32],-1.8025246109210398,0.49766668341236736,0.0030149033950008846,27488.07956954904,15796.31314377702,1.000048643207409,4.563868499859876
α_sxr[33],-2.337478724447502,0.6133713751953113,0.0037195705115488234,27900.55554440789,14754.998921273502,1.0007685034730165,4.632352225827139
α_sxr[34],-1.0402034342766409,0.46341671121817574,0.003565279725019693,17052.64754296215,14084.061928036243,1.0003827167484378,2.8312651221641767
