parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
z_pxb[3;3],0.002665270184211588,0.5915510870202304,0.003099356745881705,36393.67024703381,34709.58362540356,0.9999723669134654,9.30940593793583
z_pxb[4;3],-0.013685511359390824,0.730520057675112,0.0031303217633410494,54525.87347853056,34576.33482528805,1.0000172671820957,13.94757623747886
z_pxb[5;3],-0.1054573699109342,0.7603308789864145,0.002851963936501699,70955.26235169123,31677.39934118856,1.0000751787985716,18.150171064938576
z_pxb[6;3],-0.2935979182539776,0.6974263292608952,0.0032725089680959146,45382.40228158424,33695.67236500809,1.0000670632352646,11.608700150609472
z_pxb[1;4],-0.43884962941244937,0.9617930823709266,0.00319876790382493,90500.90815238142,28159.041520936644,1.000013017500696,23.149896287556537
z_pxb[2;4],0.1685796382996735,0.8737965651198089,0.0031568313860315133,76755.60699976727,29997.86371677683,1.0000819515209631,19.6338840991653
z_pxb[3;4],-1.027920770818056,0.6653941794094966,0.0032424509447582235,41953.9163237489,18613.12394617745,1.0000732216891963,10.731702383762824
z_pxb[4;4],-0.04588394935273874,0.9433923475791905,0.003311203003347331,81164.26115525984,30678.266957751996,1.0003125172444554,20.761606334786563
z_pxb[5;4],0.23399103464640034,0.8258821336571557,0.002999495232147568,75808.55105160672,32096.863955687262,1.0001088959215951,19.391629657458314
z_pxb[6;4],0.09858828145740108,0.7228856041645212,0.003200736919847134,50948.55163129256,34713.76977033484,1.0002375966493156,13.032506638272958
z_pxb[1;5],-0.21514823399182487,0.9396101593915968,0.0029982347721542,98260.41145642746,28394.256313218648,1.000305795225437,25.134756996679613
z_pxb[2;5],-0.4237747229528786,0.8720781037012816,0.003133526223117165,77391.35275194928,29510.868609516187,1.0004406120680276,19.79650620460857
z_pxb[3;5],0.7349077651706327,0.630571770423589,0.003241106249631784,37483.1360038801,31041.402954081637,1.000069784342713,9.588088437313294
z_pxb[4;5],0.010076721557872972,0.94999743395713,0.003161696939223028,90253.74656012023,29255.450586834537,1.0001820199275189,23.086672996830217
z_pxb[5;5],-0.5308660495770653,0.8167488840694171,0.002861770008271573,81520.04763472494,30544.802372709495,1.0000447636025498,20.852615588376192
z_pxb[6;5],0.24650651489746,0.9269387765368081,0.0032118812702184923,83203.53521720183,30619.1292402633,1.0000161946943893,21.283247321597134
z_pxb[1;6],-0.009163045760882779,0.9645604906268074,0.0030906345041773514,97443.74195075368,28065.786332643245,0.9999976824657255,24.925855066925212
z_pxb[2;6],0.13680989364328056,0.9380738970828542,0.0036026624366951618,67607.50686682093,15384.724968720613,1.0000872786599873,17.293823942538936
z_pxb[3;6],-0.035777117150149446,0.7036888655213132,0.0032839890043813596,45868.17380763062,33450.9164914463,1.000225373879142,11.732959240125867
z_pxb[4;6],-0.061445893025735984,0.9714155558451271,0.0031304202710418236,96280.06868376634,27387.703932907218,1.0001075994454078,24.628190479979846
z_pxb[5;6],0.3302815597654781,0.9099959754685317,0.0032081611076044923,80474.65118073332,30098.420036502728,1.000191775589975,20.585205901740373
z_pxb[6;6],-0.15070527827290595,0.8609710067391665,0.0032209639847278868,71441.57733979114,31332.55583171048,1.0001598423995484,18.274569170630965
z_pxg[1;1],-0.20529365909042954,0.6279786087032236,0.002685141381614118,54656.875165533296,32672.536670128648,1.0000653700677553,13.981086127374132
z_pxg[2;1],0.31664785261560136,0.48615764273462436,0.002532160438813512,36878.51742258814,33019.488337469345,1.0001104591057077,9.433428581006977
z_pxg[3;1],0.00881933976978111,1.0021644994979848,0.003298643718601853,92351.87453105132,28142.94899782439,1.00017225780478,23.623368660074764
z_pxg[4;1],-0.12704542334173208,0.618608749762188,0.0026718640879954455,53634.440488606626,33318.1789118994,1.0003008968045,13.71955000342938
z_pxg[5;1],0.02323354651208581,0.9461202201393719,0.0030676231115341515,95044.44024262302,28953.899854772262,1.0001920805854598,24.312119947137685
z_pxg[6;1],-0.23282521028432912,0.8207074339342005,0.0030398748900432038,72905.11949532942,30182.014951615456,1.0002031338554855,18.648939437237914
z_pxg[7;1],0.6699226269709654,0.5910560882070904,0.002650534868840091,49875.84699991706,33904.294825938116,1.0000636991521372,12.75811159107949
z_pxg[8;1],0.4059221508617586,0.9769564499254058,0.0034693201514499742,79196.83718723145,27498.75270885398,1.0001817020660875,20.258344414620826
z_pxg[9;1],-0.25845427270426674,0.7017483949254144,0.002843402672384671,60947.68124273436,31578.820041870553,1.0001629367439815,15.590257916093943
z_pxg[10;1],0.44251432598965,0.7744300549175592,0.003142343693109562,60794.790560390626,31088.465868764113,0.9999631708159405,15.551148878274878
z_pxg[11;1],0.3812392563059934,0.9196657899778047,0.0031920031510123347,86575.63099740409,28081.803374562012,1.0002451861181747,22.1458206280655
z_pxg[12;1],-0.6948512690994452,0.8020657693079023,0.003480357215357658,53400.27203187361,30843.672953887068,1.0001314764281863,13.659650322886298
z_pxg[13;1],0.1480454139251166,0.9215075527619975,0.0034540819102954166,71027.91034656565,16705.69559254925,1.0000369113732002,18.168754232568343
z_pxg[14;1],-0.0033259095008758566,0.5911039538154896,0.002515564457946902,55197.45560151163,32210.361096286382,1.000123753656857,14.119365193114659
z_pxg[15;1],-0.30351247091320693,0.9250023467987236,0.003289022550069663,78871.79872033616,28830.290314125486,1.0001411937319102,20.17520042245864
z_pxg[16;1],-0.13344785825127442,0.969908497938897,0.0031307466771062493,95957.31264005411,27520.074564651663,1.0000568265655,24.545630325715543
z_pxg[17;1],-0.7164284124945512,0.5730226941257247,0.002589406310585855,48841.34808553845,33525.41475893696,1.0000398940558664,12.493489466656925
z_pxg[18;1],0.6888678083770455,0.4838275160496528,0.0024572444016610954,38957.29991855742,33277.52537752473,1.0000989932523194,9.965175722207466
z_pxg[19;1],-0.09528521478922873,0.9016618085968021,0.0030216539867876143,89074.3884765184,30231.917987706172,1.0001259428682214,22.784996274699388
z_pxg[20;1],-0.10110903810221036,0.47076483058240465,0.002420003603169491,37804.20637089481,33965.49080685247,1.0001767492291904,9.670217399874458
z_pxg[21;1],-0.2041568094716708,0.5869979683883135,0.0031893215780318326,33831.174493292056,31586.262608660218,1.0000820428737431,8.653926206875644
z_pxg[22;1],0.41915608954763767,0.9130328418368575,0.0031629317924609327,83587.25029673264,31713.439814442354,1.0000203415268587,21.381400638248422
