"","longitude","latitude","precip_anom","atoll","lat","long"
"150",221.25,-21.25,0.61999998614192,"Moruroa",-21.8347,-138.8842
"151",206.25,-16.25,0.0499999988824129,"Motu_One",-15.8143,-154.5224
"152",216.25,-16.25,0.899999979883432,"Motutunga",-17.1036,-144.3686
"153",151.25,8.75,-0.84999998100102,"Murilo",8.679,152.2321
"154",153.75,6.25,-2.4099999461323,"Namoluk",5.9322222,153.1344444
"155",151.25,8.75,-0.84999998100102,"Namonuito",8.9893699,150.1225296
"156",168.75,6.25,-1.47999996691942,"Namorik",5.6137,168.1155
"157",168.75,8.75,0.279999993741512,"Namu",7.9867,168.1679
"158",176.25,-6.25,4.96999988891184,"Nanumanga",-6.2885,176.3202
"159",176.25,-6.25,4.96999988891184,"Nanumea",-5.6612,176.1035
"160",218.75,-13.75,1.3799999691546,"Napuka",-14.1726,-141.231
"161",218.75,-18.75,0.649999985471368,"Nengonengo",-18.7518,-141.8072
"162",133.75,8.75,-3.5599999204278,"Ngcheangel",8.08693,134.71959
"163",136.25,8.75,-3.42999992333353,"Ngulu",8.4507,137.4544
"164",213.75,-16.25,0.61999998614192,"Niau",-16.1530174,-146.3557281
"165",216.25,-16.25,0.899999979883432,"Nihiru",-16.6922,-142.8347
"166",186.25,-3.75,6.3699998576194,"Nikumaroro",-4.6764,-174.5185
"167",176.25,-1.25,6.23999986052513,"Nikunau",-1.3475,176.4512
"168",143.75,-1.25,-2.62999994121492,"Ninigo",-1.3121,144.2766
"169",176.25,-6.25,4.96999988891184,"Niutao",-6.1087,177.3418
"170",151.25,8.75,-0.84999998100102,"Nomwin",8.541064,151.773701
"171",173.75,-1.25,6.05999986454844,"Nonouti",-0.6534,174.3477
"172",153.75,-3.75,-0.57999998703599,"Nuguria",-3.3195,154.6854
"173",176.25,-6.25,4.96999988891184,"Nui",-7.2258,177.1546
"174",166.25,-11.25,-2.12999995239079,"Nukapu",-10.0906,166.0389
"175",178.75,-8.75,2.14999995194376,"Nukufetau",-7.9942,178.3778
"176",178.75,-8.75,2.14999995194376,"Nukulaelae",-9.3872,179.8424
"177",158.75,-3.75,1.89999995753169,"Nukumanu",-4.5429,159.3974
"178",188.75,-8.75,2.47999994456768,"Nukunonu",-9.19467,-171.8549752
"179",153.75,3.75,-2.03999995440245,"Nukuoro",3.8478,154.9414
"180",216.25,-21.25,0.359999991953373,"Nukutepipi",-20.7045,-143.052
"181",166.25,-11.25,-2.12999995239079,"Numa_Miombilou",-10.228,166.2353
"182",166.25,-11.25,-2.12999995239079,"Nupani",-10.0834,165.729
"183",228.75,-23.75,0.999999977648258,"Oeno",-23.9256146,-130.7288579
"184",146.25,8.75,-1.90999995730817,"Olimarao",7.6901,145.8716
"185",176.25,-1.25,6.23999986052513,"Onotoa",-1.88605,175.56633
"186",158.75,-6.25,0.359999991953373,"Ontong_Java",-5.349,159.3282
"187",156.25,8.75,-0.0699999984353781,"Oroluk",7.5207959,155.2777433
"188",188.75,-3.75,6.07999986410141,"Orona",-4.5118,-172.1798
"189",166.25,-21.25,-1.76999996043742,"Ouvéa",-20.5686,166.4243
"190",158.75,6.25,-1.90999995730817,"Pakin",7.0704589,157.8051074
"191",196.25,-18.75,-2.38999994657934,"Palmerston",-18.0474,-163.1548
"192",198.75,6.25,3.18999992869794,"Palmyra",5.882204,-162.0748745
"193",218.75,-18.75,0.649999985471368,"Paraoa",-19.1365,-140.69
"194",183.75,28.75,-0.679999984800816,"Pearl_and_Hermes",27.873,-175.8354
"195",71.25,11.25,-0.859999980777502,"Peremul_Par",11.1499,72.0609
"196",71.25,-6.25,0.0199999995529652,"Peros_Banhos",-5.3542,71.8489
"197",221.25,-18.75,1.11999997496605,"Pinaki",-19.3949,-138.6751
"198",161.25,6.25,-2.42999994568527,"Pingelap",6.2147306,160.6991088
"199",153.75,-3.75,-0.57999998703599,"Pinipel",-4.4,154.1201
"200",193.75,-11.25,0.489999989047647,"Pukapuka",-10.8858,-165.8534
"201",221.25,-13.75,1.51999996602535,"Puka-Puka",-14.8176,-138.8167
"202",223.75,-18.75,1.24999997206032,"Pukarua",-18.3159,-137.0181
