"","longitude","latitude","precip_anom"
"154",6.25,66.25,0.159999996423721
"155",6.25,63.75,0.229999994859099
"156",6.25,61.25,0.239999994635582
"157",6.25,58.75,0.109999997541308
"158",6.25,56.25,0.119999997317791
"159",6.25,53.75,0.0699999984353781
"160",6.25,51.25,0.169999996200204
"161",6.25,48.75,0.209999995306134
"162",6.25,46.25,0.369999991729856
"163",6.25,43.75,0.189999995753169
"164",6.25,41.25,0.119999997317791
"165",6.25,38.75,0.0299999993294477
"166",6.25,36.25,0.0899999979883432
"167",6.25,33.75,0.0499999988824129
"168",6.25,31.25,-0.0199999995529652
"169",6.25,28.75,-0.00999999977648258
"170",6.25,26.25,0.0199999995529652
"171",6.25,23.75,0.0499999988824129
"172",6.25,21.25,0.0199999995529652
"173",6.25,18.75,-0.0499999988824129
"174",6.25,16.25,-0.109999997541308
"175",6.25,13.75,-0.149999996647239
"176",6.25,11.25,-0.289999993517995
"177",6.25,8.75,-0.229999994859099
"178",6.25,6.25,-0.369999991729856
"179",6.25,3.75,-1.5499999653548
"180",6.25,1.25,-1.38999996893108
"181",6.25,-1.25,-0.479999989271164
"182",6.25,-3.75,-0.239999994635582
"183",6.25,-6.25,-0.0199999995529652
"184",6.25,-8.75,-0.0199999995529652
"185",6.25,-11.25,0
"186",6.25,-13.75,0.0199999995529652
"187",6.25,-16.25,0.00999999977648258
"188",6.25,-18.75,0.00999999977648258
"189",6.25,-21.25,0
"190",6.25,-23.75,0
"191",6.25,-26.25,0.0199999995529652
"192",6.25,-28.75,0
"193",6.25,-31.25,0.0699999984353781
"194",6.25,-33.75,0.169999996200204
"195",6.25,-36.25,0.329999992623925
"196",6.25,-38.75,0.249999994412065
"197",6.25,-41.25,0.259999994188547
"198",6.25,-43.75,0.189999995753169
"199",6.25,-46.25,0.0299999993294477
"200",6.25,-48.75,0.0299999993294477
"201",6.25,-51.25,0.139999996870756
"202",6.25,-53.75,0.0599999986588955
"203",6.25,-56.25,-0.00999999977648258
"204",6.25,-58.75,-0.0499999988824129
"205",6.25,-61.25,-0.0499999988824129
"206",6.25,-63.75,-0.109999997541308
"207",6.25,-66.25,-0.119999997317791
"208",6.25,-68.75,-0.0599999986588955
"209",6.25,-71.25,0.00999999977648258
"210",6.25,-73.75,0.00999999977648258
"211",6.25,-76.25,0
"212",6.25,-78.75,0
"213",6.25,-81.25,0.0899999979883432
"214",6.25,-83.75,0
"215",6.25,-86.25,0
"216",6.25,-88.75,0
"217",8.75,88.75,NA
"218",8.75,86.25,NA
"219",8.75,83.75,NA
"220",8.75,81.25,NA
"221",8.75,78.75,NA
"222",8.75,76.25,NA
"223",8.75,73.75,NA
"224",8.75,71.25,NA
"225",8.75,68.75,NA
"226",8.75,66.25,0.119999997317791
"227",8.75,63.75,0.249999994412065
"228",8.75,61.25,0.0499999988824129
"229",8.75,58.75,0.00999999977648258
"230",8.75,56.25,0.119999997317791
"231",8.75,53.75,0.209999995306134
"232",8.75,51.25,0.139999996870756
"233",8.75,48.75,0.0799999982118607
"234",8.75,46.25,0.119999997317791
"235",8.75,43.75,0.199999995529652
"236",8.75,41.25,0.139999996870756
"237",8.75,38.75,0.0899999979883432
"238",8.75,36.25,0.119999997317791
"239",8.75,33.75,0.0299999993294477
"240",8.75,31.25,-0.0199999995529652
"241",8.75,28.75,0
"242",8.75,26.25,0.0199999995529652
"243",8.75,23.75,0.00999999977648258
"244",8.75,21.25,0.00999999977648258
"245",8.75,18.75,-0.00999999977648258
"246",8.75,16.25,-0.0199999995529652
"247",8.75,13.75,-0.209999995306134
"248",8.75,11.25,-0.189999995753169
"249",8.75,8.75,0.00999999977648258
"250",8.75,6.25,-0.279999993741512
"251",8.75,3.75,-0.809999981895089
"252",8.75,1.25,-1.42999996803701
"253",8.75,-1.25,-0.829999981448054
"254",8.75,-3.75,-0.219999995082617
"255",8.75,-6.25,-0.0199999995529652
"256",8.75,-8.75,-0.0399999991059303
"257",8.75,-11.25,0
"258",8.75,-13.75,0.0199999995529652
"259",8.75,-16.25,0.0299999993294477
"260",8.75,-18.75,0.0199999995529652
"261",8.75,-21.25,0.0299999993294477
"262",8.75,-23.75,0.0199999995529652
"263",8.75,-26.25,0.0399999991059303
"264",8.75,-28.75,0.0299999993294477
"265",8.75,-31.25,0.0599999986588955
"266",8.75,-33.75,0.109999997541308
"267",8.75,-36.25,0.199999995529652
"268",8.75,-38.75,0.169999996200204
"269",8.75,-41.25,0.399999991059303
"270",8.75,-43.75,0.26999999396503
"271",8.75,-46.25,0.0399999991059303
"272",8.75,-48.75,0.0399999991059303
"273",8.75,-51.25,0.109999997541308
"274",8.75,-53.75,0.0699999984353781
"275",8.75,-56.25,-0.00999999977648258
"276",8.75,-58.75,-0.0899999979883432
"277",8.75,-61.25,-0.0799999982118607
