atoll,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Abemama,1554.3083041648595,33.12206546621094,12372.770481752254,259.0513840274766,5.5203442443684905,2062.1284136253757,226.48492432116524,4.826358110790737,1802.8894130553283,342010.6713588132,4874.916678435115,2.667798582256313e6
Addu,878.3001970646176,11.168148970595391,8463.930530648613,146.3833661774363,1.8613581617658985,1410.655088441436,127.98088585798712,1.627358850001042,1233.3155916087978,190968.59268485944,1189.6693456748933,1.9082536451296469e6
Ahe,1486.2542598214786,22.072915843642846,12664.232566819977,247.7090433035798,3.6788193072738085,2110.70542780333,216.56847785970115,3.216339165787957,1845.359602593768,289225.11528740753,4341.865700599953,2.347658556860811e6
Ailuk,15037.793524120234,339.538903742556,883960.1197615993,2506.298920686706,56.589817290426,147326.68662693322,1573.8239688862286,46.14875152503947,15112.273481599614,3.610010058499031e6,103177.4365480171,2.324935581166445e8
Anaa,515.4455943260837,2.3308161357134938,4374.949608802135,85.90759905434729,0.38846935595224896,729.1582681336891,75.10778660180077,0.33963320834682337,637.4926572825967,115077.84824477398,510.23720578878795,987777.8521961409
Ant,3399.8526021778957,3360.9273227522426,4046.0970023538,566.6421003629825,560.1545537920404,674.3495003922999,495.4070934602076,489.73512417246957,589.5741346286965,706527.7144624136,698077.2082921728,845204.6639248541
Anuanuraro,1026.1037784354667,68.17578142520297,5821.070015836984,171.01729640591114,11.362630237533828,970.1783359728306,149.51797914345372,9.934185293386719,848.2130594505318,218099.81657651882,13187.836031145001,1.2478226102934964e6
Anuanurunga,3729.652329743831,97.43374912102664,39101.57838873991,621.608721623972,16.238958186837777,6516.929731456653,543.4636251912439,14.19748915763531,5697.658565216387,732090.2923490521,19147.003720529996,7.477376347335992e6
Apataki,69849.16029798344,242.45728728005705,1.3616921718697904e6,11641.526716330576,40.40954788000951,226948.69531163177,10178.0205005633,35.32949043223688,198418.00218674086,1.6359500517371943e7,51625.39829050311,3.192101263406997e8
Aratika,2202.818489290731,115.10599655291418,14212.418097030606,367.1364148817885,19.184332758819032,2368.7363495051013,320.9821227252208,16.77258806913892,2070.9523512816027,429530.89565465413,25118.69539081225,2.64405970411583e6
Arno,1400.327029494195,30.47168238176679,11076.992721145189,233.38783824903248,5.078613730294465,1846.1654535241978,204.04765286915406,4.440159432771732,1614.0760822240131,306621.3603865373,7542.59690930304,2.3964999894821635e6
