atoll,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Abemama,1467.110439009799,30.606561431083627,10981.740934483463,244.5184065016332,5.101093571847272,1830.2901557472433,213.77894968428498,4.459813237100756,1600.1965361675898,323767.54070384393,8156.045996927747,2.3846212070441246e6
Addu,573.5851058623813,13.750580095547896,4806.53699295281,95.59751764373023,2.2917633492579825,801.0894988254684,83.57954399708984,2.003655956779836,700.3811046874094,123816.1655349695,1477.226521008811,1.0869300462238172e6
Ahe,1555.7589060411342,26.019847921277616,13097.676273077319,259.29315100685574,4.336641320212936,2182.946045512887,226.69629773742238,3.7914635542433093,1908.5185426484093,301047.9531607534,5188.171191924272,2.4171576609739405e6
Ailuk,11197.630750749686,611.7838246459644,88884.79554650582,1866.2717917916143,101.96397077432742,14814.132591084306,1520.5759810381282,61.761874489052516,12607.387905491347,2.7674187809351506e6,156244.8738029338,2.1078713720410712e7
Anaa,541.106587600871,6.164861160817783,4349.591700494442,90.18443126681184,1.0274768601362974,724.9319500824072,78.84695990755549,0.8983083405763055,633.797647786333,121057.27948170858,954.1629067323927,980705.7173014919
Ant,3393.1220149122873,3361.0429277728463,3742.9819718791055,565.5203358187146,560.1738212954743,623.8303286465175,494.4263507443618,489.7519694754718,545.4059444738124,705164.6265124511,698103.1053050202,781439.701212016
Anuanuraro,999.5555854179198,54.92793850877248,5197.122312496071,166.59259756965332,9.154656418128747,866.1870520826785,145.64952816089686,8.003785325563989,757.2949655351416,212285.35354780423,13480.448977457927,1.121554691765682e6
Anuanurunga,3163.745929520186,178.07436537529082,19073.082217663134,527.2909882533645,29.6790608958818,3178.847036277188,461.0029783015128,25.947978954685233,2779.220551716628,621078.7173398458,30537.08982259407,3.6390098510379284e6
Apataki,19316.87203225312,185.9632449079356,285215.8140046746,3219.478672042187,30.993874151322608,47535.969000779114,2814.7442104140264,27.097501400870616,41560.018612109736,4.494563337596524e6,43588.59280185886,6.685714050442659e7
Aratika,2227.8818605547513,109.13682762184564,14772.137277515825,371.3136434257919,18.189471270307607,2462.022879585971,324.63421396654945,15.902794882040364,2152.5114318665915,434954.13284876896,25429.682617803846,2.743197265175717e6
Arno,1076.8831470967643,38.84987115129676,7957.314811797859,179.48052451612742,6.474978525216126,1326.2191352996433,156.9172585769571,5.660981224903241,1159.494444004831,236379.47537460297,6248.1845707144785,1.7117409369462894e6
Arutua,528.9963656117773,4.359118297589406,4473.875060096794,88.16606093529623,0.7265197162649011,745.6458433494657,77.08232756057325,0.6351858090773135,651.9075087569615,116750.2911955571,971.0679374359197,973846.8452524372
Aur,1187.4440862364559,44.03185468757348,7857.552133614003,197.907347706076,7.3386424479289145,1309.5920222690004,173.02756685159784,6.416070254474993,1144.9575966123261,261330.95609345636,9529.292299177789,1.710764704493384e6
Butaritari,9791.449332512588,1194.4982712874203,70671.30504183381,1631.9082220854316,199.08304521457,11778.550840305637,1426.7540455946917,174.05546238759547,10297.818734667215,2.0287518243127412e6,250266.560948649,1.5026589350795917e7
Etal,136.64134967285884,0.8437423805089146,1396.1497763532404,22.77355827880981,0.1406237300848191,232.69162939220675,19.910596666616573,0.12294531830272754,203.4389674114722,29700.337680961173,184.09807963588173,300580.9673647869
Fakahina,798.7682489720705,18.657045700797187,5488.538141082652,133.1280414953451,3.1095076167995317,914.7563568471087,116.39194485021599,2.7185980878304474,799.7584148434721,177203.0320491706,4696.900670796035,1.223036411439755e6
Fakaofo,1877.7165433554942,1261.469654654439,4740.593573861097,312.9527572259158,210.24494244240654,790.0989289768494,273.61012488894346,183.81414967821823,690.7722064769025,357549.8742414756,224498.75557743985,984979.8604036715
Hao,3285.95828920617,112.05647487384678,24932.08080509918,547.659714867695,18.67607914564113,4155.346800849864,478.81106499861323,16.328229195903386,3632.96034588588,646306.8444144051,22989.287494549757,4.635660845581982e6
Hereheretui,918.7034463355799,19.807442730465333,5802.704993166525,153.11724105592998,3.301240455077555,967.1174988610876,133.86821646604164,2.886227369296377,845.5370132899793,203329.96502919352,4340.018246740986,1.2999482158321938e6
Kapingamarangi,3575.0047685597424,225.8255888920875,21656.729963001315,595.8341280932906,37.63759814868125,3609.454993833552,520.9292662758481,32.90601438141846,3155.6949374659052,694775.3217446113,43931.15652723721,4.030885017589008e6
Kauehi,31741.755114440595,29648.034691050085,44725.77219909058,5290.292519073435,4941.339115175017,7454.295366515098,4625.227173818487,4320.142197838727,6517.183949010341,7.353816056484915e6,6.935943505712152e6,9.717862597840525e6
Kaukura,3667.5826689443975,206.67150574029742,22137.22017486236,611.2637781573998,34.44525095671624,3689.536695810393,534.4191889033265,30.114990836443337,3225.709225479944,709697.9022058995,40163.31416929292,4.106620134256952e6
Lae,866.9190971554849,27.026652780612096,5296.466896751325,144.48651619258084,4.504442130102016,882.7444827918877,126.32249701408495,3.9381694051749054,771.7708906694788,194004.27416071878,6368.471866677768,1.1569826030795602e6
Likiep,5289.077953125787,213.18485291005896,35601.655999929215,881.5129921876313,35.53080881834317,5933.609333321536,770.6942160269002,31.064078566894302,5187.6698742754,1.0262479643079025e6,41620.171302464994,6.632540534942536e6
Losap,283.3321783924257,2.541596040656595,2861.8219263898636,47.22202973207095,0.42359934010943256,476.9703210649774,41.285545994324885,0.3703468516385324,417.00833784538014,61480.28973566572,645.0745506873739,610027.8285384084
Lukunor,1131.623812730304,43.562345970415215,8081.701735849559,188.603968788384,7.260390995069204,1346.95028930826,164.89375556927286,6.347656127117645,1177.6193957952214,224749.9163137213,13556.702097430734,1.5272956616478632e6
Maiana,2564.725647558975,102.25836404061657,19392.309681318326,427.4542745931625,17.0430606734361,3232.051613553053,373.71716578716496,14.900504474489844,2825.7365535635267,540104.8233819149,21704.811838393947,4.0495171920337062e6
Majuro,3651.4144933323464,134.18397638354952,26824.182612818902,608.5690822220578,22.363996063924922,4470.697102136484,532.0632547427133,19.552522273031503,3908.666609296469,709344.7108309534,28824.089750862087,5.017541807827728e6
Manihi,1089.8173284726947,46.607994213108036,6161.0103599555805,181.63622141211584,7.767999035518008,1026.835059992597,158.8019535774498,6.791450585338599,897.7472238792417,254460.25114123797,11308.429424596445,1.4627989146009816e6
Manihiki,2452.8686197819984,153.79083258616157,16234.079001000344,408.8114366303331,25.63180543102693,2705.6798335000576,357.4179988825198,22.40952131969783,2365.53722586005,479278.4927189198,36080.32962896475,3.021814604319896e6
Marakei,1393.6439208402137,36.481171279750185,11134.869118219594,232.27398680670228,6.080195213291698,1855.8115197032657,203.07382846528827,5.315827815049312,1622.5095000834267,309838.84327487834,8822.835207884391,2.428398153768126e6
Maria_Est,5799.735075062553,628.0176737439774,28363.898779545023,966.6225125104254,104.66961229066291,4727.316463257504,845.104253794829,91.51114674555102,4133.025250733704,1.1869584031279832e6,119611.55168572986,5.67242268051996e6
Marutea_Sud,16955.129599768912,302.42614061416276,170089.80437817407,2825.8549332948187,50.40435676902714,28348.300729695686,2470.60459882347,44.067809060920865,24784.514352248225,3.7060484009003686e6,47731.51300836298,3.885588450085527e7
Mataiva,5146.835631782424,563.1066771145827,24522.111214877234,857.8059386304042,93.85111285243045,4087.0185358128724,749.9674777740104,82.05268723669633,3573.2219198821103,1.0123676074074848e6,112316.96689293225,4.643060376986679e6
Matureivavao,7640.557918470202,214.47860399145898,123851.208687542,1273.426319745034,35.74643399857651,20641.868114590332,1113.338439548515,31.252596581612593,18046.890408756117,2.824117653965451e6,52348.100781798894,8.462231174190383e7
Mili,5495.843169105712,459.04791432502043,33151.01501903576,915.9738615176188,76.50798572083676,5525.169169839293,800.8228617839752,66.88983894450297,4830.576474202353,1.071631368113687e6,79420.41199806986,6.139728495053317e6
Mokil,426.774062757117,9.153334873257519,3188.9167151512684,71.12901045951949,1.5255558122095867,531.4861191918781,62.18707771603704,1.3337716529603811,464.6707213506133,92800.97519631228,2016.0990917422541,686606.3899469256
Moruroa,6746.032818350138,619.0321440302018,32973.24958460783,1124.3388030583565,103.17202400503363,5495.541597434639,895.1326275426757,72.6588897212456,4597.541551453642,1.4208567231555951e6,130911.98350746342,6.755097940034676e6
Motu_One,2868.7985554944116,166.95603417197674,17454.36642276922,478.1330925824019,27.82600569532945,2909.0610704615374,418.02493237204277,24.327879265059465,2543.350535889229,553707.8368085254,23810.897514925302,3.240920145350999e6
Namoluk,1159.8476519175692,87.67613257417567,5961.310869929944,193.30794198626154,14.612688762362609,993.5518116549907,169.00637213656012,12.775665032237026,868.648155332649,242018.85022472718,17833.82315324148,1.2113237487634867e6
Namu,6371.2401221976415,204.67022603923084,43472.72311309284,1061.8733536996072,34.11170433987182,7245.453852182142,928.3807035202278,29.823375794287923,6334.596796479242,1.2532587993669533e6,47748.06689268533,8.122550826690391e6
Napuka,626.9841157998769,5.802583640569729,4962.991441318229,104.49735263331283,0.9670972734282883,827.1652402197049,91.36054258798205,0.8455193304830175,723.1787528777991,140302.77263796676,1277.346086682488,1.1192664606295e6
Nengonengo,5120.174439911649,307.91030068888483,26961.655259283496,853.3624066519415,51.31838344814748,4493.609209880584,746.0825612442688,44.866929528951786,3928.6983377813094,1.0064514247992154e6,78843.55545468729,5.238578736804037e6
Ngcheangel,752.8759176375993,5.911490605431163,9756.758435653685,125.47931960626656,0.9852484342385274,1626.1264059422808,109.70477657005017,0.8613886310771123,1421.6990863381081,179970.1071574734,939.8888893499604,2.3083860493994565e6
Niau,497.45919587048354,15.293967573308038,3125.3747687736486,82.9098659784139,2.54899459555134,520.895794795608,72.48691139827045,2.2285495606820285,455.41175202130296,108822.25135595829,2621.9465996033987,687358.198675191
Ninigo,1643.0515901572708,49.97122711448537,13107.566274452849,273.84193169287846,8.328537852414229,2184.594379075474,239.416088851488,7.281521665253582,1909.9596571345576,343476.16647868976,10448.932437358473,2.7146613393737916e6
Niutao,688.9587887213422,23.979895332726006,4647.916527274865,114.82646478689037,3.9966492221210004,774.652754545811,100.39113778510983,3.494213319911503,677.2678368314803,149571.36956080695,5008.53651866038,1.030127198300362e6
Nonouti,14466.859603893134,603.0392800394951,137175.84602212213,2411.1432673155227,100.5065466732492,22862.64100368703,2108.0281137101424,87.87143794861213,19988.48042036637,3.2636248330740263e6,112998.93636677836,3.1971987912231877e7
Nuguria,5371.437511502542,266.1427947782188,42371.09091859688,895.2395852504238,44.35713246303647,7061.848486432813,782.6951802475132,38.78080723911188,6174.073248138404,1.0372445777531874e6,51788.692298478956,7.908418678386669e6
Nukapu,595.2724832940556,19.93562636129171,4165.414086518737,99.21208054900927,3.3226043935486187,694.2356810864562,86.7397047085624,2.9049055555025065,606.9603383213016,121454.00723039199,3258.2676446491123,848541.737696991
Nukulaelae,1355.8430517545532,79.04712682519452,7640.363810958064,225.97384195909223,13.174521137532421,1273.393968493011,197.56570182709203,11.518295623099773,1113.310155311032,275804.9591955395,14414.78323672303,1.5622035271164551e6
Nukumanu,6788.407798801631,309.9869599070889,51850.20754987967,1131.4012998002718,51.664493317848155,8641.701258313276,989.167993539666,45.169528443604385,7555.31595726818,1.3076165700035114e6,70706.33484984371,9.574241350425225e6
Nukuoro,2172.2154739214893,51.66732026517232,18630.622856284477,362.03591232024826,8.611220044195388,3105.103809380747,316.52282619998846,7.528666667210825,2714.747901915738,428523.64138545614,12290.397733991666,3.44433474911782e6
Nukutepipi,2558.723850082348,208.45461987603005,12891.661954666517,426.4539750137247,34.74243664600501,2148.610325777753,372.8426181548564,30.374816039078667,1878.4993133942635,517178.5599267037,42505.567800194214,2.527994067897813e6
