atoll,median_excretedN,lower_excretedN,upper_excretedN,median_excretedP,lower_excretedP,upper_excretedP,median_NH3emit,lower_NH3emit,upper_NH3emit,median_bird_C,lower_bird_C,upper_bird_C
Abemama,1492.875998840178,41.045297230172864,11171.587132795874,248.81266647336298,6.840882871695476,1861.9311887993122,217.53335983099734,5.980886167825188,1627.859839350256,328031.28605201043,8847.755901880473,2.4160092315378855e6
Addu,722.6848916417092,12.178277093474877,6221.174534861134,120.44748194028483,2.0297128489124794,1036.862422476856,105.30551278207761,1.774548947906339,906.5140036511938,156562.65890691662,2684.3388904522585,1.3981123501512802e6
Ahe,1493.274040439309,22.041444592915788,12257.099032250768,248.87900673988486,3.673574098819299,2042.8498387084614,217.59136017829928,3.211753354967729,1786.0344304136834,289209.0165073296,8249.515182256466,2.260588824384184e6
Ailuk,11848.376107627279,580.8997964244247,115248.00346245096,1974.7293512712133,96.81663273740413,19208.000577075163,1475.9232149166537,59.397518494214026,12797.06496789503,2.8674247659017304e6,159223.7051450836,2.77597325297356e7
Anaa,515.515172695076,4.454953842255852,4142.291061085986,85.91919544917934,0.7424923070426421,690.3818435143311,75.11792516413965,0.6491504170144242,603.5909831868152,115507.36819833881,1314.5285648145634,936198.6656130615
Ant,3396.6615821710107,3360.9648983562374,3852.431809502024,566.1102636951684,560.1608163927062,642.0719682503372,494.94211625920434,489.74059947476593,561.3543493845806,705858.544811941,698085.9966858571,804074.0482264622
Anuanuraro,979.0538832900838,55.17020175179323,5135.5832044366725,163.175647215014,9.195033625298873,855.9305340727788,142.66213727941226,8.039086540975584,748.3278383607721,208248.323982357,13922.20186568733,1.102976804749256e6
Anuanurunga,3293.1147214345456,176.04022151408108,23216.81706509412,548.8524535724243,29.340036919013514,3869.4695108490196,479.8538594090338,25.65157513490896,3383.0219151994293,646994.1911855887,30881.253863471036,4.4654810607899325e6
Apataki,34374.69491019672,172.60926714757485,585845.2477633388,5729.115818366119,28.76821119126248,97640.87462722317,5008.884115485806,25.15163607007519,85366.02181694364,8.035494780202902e6,39383.62941255115,1.3733558915062556e8
Aratika,2165.703567019501,137.11794418429898,14050.667054005607,360.9505945032501,22.852990697383166,2341.7778423342684,315.5739483371272,19.980043295426423,2047.382913583674,421600.21566613833,28535.9032456528,2.609741205478803e6
Arno,1221.7230717937396,32.98548310074021,8993.019037131531,203.62051196562328,5.497580516790034,1498.8365061885884,178.02250474708774,4.806456108965001,1310.4113454105943,267677.86061255983,6654.513377649939,1.9358442753428963e6
Arutua,513.2559010036313,6.265930948641334,4336.819910920088,85.54265016727189,1.0443218247735557,722.8033184866814,74.78871700338627,0.9130356525163086,631.9366155912128,113141.28902632666,1209.600559790595,946312.7098885191
Aur,1226.9790622444698,51.88560736496991,8123.699871439468,204.4965103740783,8.647601227494984,1353.9499785732448,178.78837764133704,7.560474216038471,1183.739124124037,269889.7894687719,11253.738616838778,1.7704733713580123e6
Butaritari,8786.449996539104,1130.3322834726575,63680.57203338358,1464.4083327565172,188.38871391210955,10613.4286722306,1280.311285209984,164.70556130601574,9279.169067721608,1.8043454365608143e6,245036.30579876376,1.3544249102783157e7
Etal,119.87994440262261,0.8227462712317672,1225.6707145309417,19.979990733770435,0.13712437853862788,204.27845242182363,17.468220470096437,0.11988588523662894,178.59773268879434,25993.110940515253,163.83555431090883,261426.32162161721
Fakahina,920.1001602469312,18.981644208819006,6230.311967833796,153.35002670782185,3.1636073681365016,1038.3853279722996,134.07173763598138,2.7658967275707695,907.8454581700674,204198.6173385636,4114.1266968902455,1.391459085384342e6
Fakaofo,1951.8029723767745,1268.947458803559,5217.263846176135,325.3004953961291,211.49124313392653,869.5439743626894,284.40557597490135,184.90377256851858,760.2298747285226,373647.40389843093,224794.49984012567,1.0924890149850594e6
Hao,3464.375024368892,111.85228572792904,25169.49867635053,577.3958373948154,18.64204762132151,4194.916446058422,504.8089321223242,16.298475920355376,3667.555521411077,684909.7731395464,20606.928268537224,4.773018721526039e6
Hereheretui,909.044583815755,30.129889489892616,5629.751295635526,151.50743063595922,5.0216482483154365,938.291882605921,132.46078221315287,4.3903553256700665,820.3351887926052,201588.8743812505,3573.7510687257914,1.267329289217276e6
Kapingamarangi,3735.7735880801993,187.589394779609,21683.83261334421,622.6289313467,31.264899129934843,3613.9721022240346,544.3555799774005,27.334454667885886,3159.6441808015843,725417.9095316138,36827.85022224409,4.0788621556509617e6
Kauehi,31679.7641936743,29624.97537660673,43538.317755611366,5279.960698945718,4937.495896101124,7256.3862926018965,4616.194211078255,4316.782126305553,6344.154872960513,7.3417314004983865e6,6.938279692664519e6,9.514513851432817e6
Kaukura,3387.2575049303305,212.49668861352683,20146.52540096422,564.5429174883884,35.41611476892114,3357.7542334940363,493.57180786127674,30.963803197971057,2935.636558426215,653298.0073074033,41983.47268631772,3.746566782502815e6
Lae,848.7603920422598,30.147285689581032,5074.313301778614,141.46006534037662,5.024547614930173,845.7188836297688,123.67651426901499,4.392890200481808,739.3999382591693,189080.17203889537,4600.1889455290275,1.110568194342049e6
Likiep,4799.828490394176,221.3773260192479,30151.72264051071,799.9714150656961,36.89622100320799,5025.287106751786,699.4035800288656,32.25783893423326,4393.536727617275,934863.9341033876,43596.03527586666,5.610868712381469e6
Losap,274.08296512064373,1.6179262109204249,2899.5024292956564,45.68049418677397,0.2696543684867374,483.25040488260936,39.93780348900809,0.23575496216269043,422.4989254116527,59342.91148247517,390.32253637602594,617217.4993602786
Lukunor,1120.3871373002612,64.02737363245562,7579.082307443975,186.73118955004355,10.671228938742605,1263.180384573996,163.2564114351809,9.32970301501496,1104.380564798979,223315.97596302486,10086.884772179961,1.431391483149187e6
Maiana,2258.527244842583,42.813102930712795,18569.25314981672,376.4212074737639,7.135517155118799,3094.8755249694523,329.0996842484907,6.238480712761005,2705.805458973293,478281.3153094666,16338.528030715408,3.8880667894213907e6
Majuro,3867.577133554071,186.97889474158978,26084.036062858653,644.5961889256787,31.163149123598295,4347.3393438097755,563.561239460736,27.245496090917367,3800.816683445118,756370.3659508559,38220.242558237645,4.949597667671134e6
