atoll,region,species,mean,lower005,upper095
Abaiang,Micronesia,Anous_stolidus,0.7920119523887449,0.3257266056533885,0.9858943342234374
Abaiang,Micronesia,Anous_minutus,0.8825247460364862,0.6966338181164159,0.9791300492598015
Abaiang,Micronesia,Anous_tenuirostris,0.08018247428909019,0.0012472660471342975,0.33935702527116096
Abaiang,Micronesia,Anous_ceruleus,0.016142862186290605,0.0018382752441279055,0.04852232019055333
Abaiang,Micronesia,Gygis_alba,0.9857964255081337,0.9498218969164868,0.9991290604212241
Abaiang,Micronesia,Onychoprion_fuscatus,0.20508451522169757,0.04871469719621655,0.45516667749313805
Abaiang,Micronesia,Onychoprion_lunatus,0.22773595343612305,0.056040788924516555,0.5011558842447538
Abaiang,Micronesia,Onychoprion_anaethetus,0.07463782547870736,0.0011430216699919718,0.3154044526664783
Abaiang,Micronesia,Sternula_nereis,0.023330038698060315,0.0003613531516705631,0.09680908209361562
Abaiang,Micronesia,Sternula_saundersi,0.002244129649086601,1.7514106987818106e-5,0.009587188343373087
Abaiang,Micronesia,Hydroprogne_caspia,0.002320791398880248,2.5721466221913624e-5,0.009489691603847302
Abaiang,Micronesia,Sterna_dougallii,0.002040356516623015,2.2420220140625027e-5,0.00840108072605685
Abaiang,Micronesia,Sterna_sumatrana,0.2722513791987359,0.03917238611083838,0.6357943617611189
Abaiang,Micronesia,Thalasseus_bergii,0.5773296438390122,0.13330027332330452,0.9301363083692203
Abaiang,Micronesia,Thalasseus_bengalensis,0.008329196767418149,0.00015604321289716883,0.03327311339968258
Abaiang,Micronesia,Phaethon_lepturus,0.06621043153728594,0.008517555165141012,0.1935382677173764
Abaiang,Micronesia,Phaethon_rubricauda,0.49532316097343093,0.2481215749310855,0.743581398102571
Abaiang,Micronesia,Phoebastria_immutabilis,0.011054652973216502,0.00026027867124487,0.04367723817993191
Abaiang,Micronesia,Phoebastria_nigripes,0.01709572387484711,0.0014186996767730003,0.05421325133989786
Abaiang,Micronesia,Phoebastria_albatrus,0.019251916177644254,0.00018425965105881226,0.08352777731161336
Abaiang,Micronesia,Nesofregetta_fuliginosa,0.08743670998244317,0.007717810589790661,0.2614544427524129
Abaiang,Micronesia,Hydrobates_tristrami,0.00221896364006342,1.2782516471286893e-5,0.0096782741638972
Abaiang,Micronesia,Pterodroma_neglecta,0.0021827081575745842,4.599097241191327e-5,0.008461656537935782
Abaiang,Micronesia,Pterodroma_heraldica,0.005643039405102421,0.00013208283572169194,0.021164259953741556
Abaiang,Micronesia,Pterodroma_ultima,0.003391406589250549,2.683094300639964e-5,0.014423648060940965
Abaiang,Micronesia,Pterodroma_hypoleuca,0.0015918978006612186,1.4405318036791542e-5,0.006740279391866657
Abaiang,Micronesia,Pterodroma_alba,0.02081385662128804,0.0005207071246860422,0.0783544240628761
Abaiang,Micronesia,Bulweria_bulwerii,0.004544885942220045,7.897088343165163e-5,0.0183250617544658
Abaiang,Micronesia,Ardenna_pacifica,0.06481848532702572,0.015041061293480547,0.15379173744113847
Abaiang,Micronesia,Puffinus_nativitatis,0.010258839987597855,0.0008033412810718901,0.033396678808615056
Abaiang,Micronesia,Puffinus_bailloni,0.03546219199213042,0.000875119045272381,0.13066142459866859
Abaiang,Micronesia,Fregata_ariel,0.5961206944077508,0.19959055646472085,0.9280271916875081
Abaiang,Micronesia,Fregata_minor,0.26383265767476227,0.037406462628394865,0.6248658212333111
Abaiang,Micronesia,Sula_dactylatra,0.0017745045132341222,1.6680692770784298e-5,0.0074764315284328595
Abaiang,Micronesia,Sula_granti,6.934139646750746e-5,9.200801921028652e-8,0.0002900271240427394
Abaiang,Micronesia,Sula_leucogaster,0.38054959657013504,0.06391441720725849,0.7904201057339113
Abaiang,Micronesia,Sula_sula,0.3747947589796524,0.11866442839789512,0.6836856610368303
Ailinglaplap,Micronesia,Anous_stolidus,0.8996001648081597,0.7143147773363167,0.9866306458829803
Ailinglaplap,Micronesia,Anous_minutus,0.8759393761749122,0.7176861356520814,0.9705631532505541
Ailinglaplap,Micronesia,Anous_tenuirostris,0.0055749367754038505,0.00011985304367014758,0.021352477079082676
Ailinglaplap,Micronesia,Anous_ceruleus,0.012516395325939633,0.0019463314180803706,0.03386832549849808
Ailinglaplap,Micronesia,Gygis_alba,0.8986865208243857,0.7445573052411948,0.9798145179779469
Ailinglaplap,Micronesia,Onychoprion_fuscatus,0.20658165806781198,0.07762701954503423,0.39026186243066624
Ailinglaplap,Micronesia,Onychoprion_lunatus,0.08768037343813309,0.023717666622642592,0.1972980767568521
Ailinglaplap,Micronesia,Onychoprion_anaethetus,0.0060253361265927285,0.00013331776048494055,0.022798462452765934
Ailinglaplap,Micronesia,Sternula_nereis,0.004971334878149914,0.0001208422308215989,0.018638672048163947
Ailinglaplap,Micronesia,Sternula_saundersi,0.003915352770600143,7.727260170394393e-5,0.015173069845584808
Ailinglaplap,Micronesia,Hydroprogne_caspia,0.004314502722123071,0.00010240521556398309,0.016051033546230078
Ailinglaplap,Micronesia,Sterna_dougallii,0.004195902904845365,0.00010448957183896313,0.01551904483586962
