atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,832.7440419403259,312.9992758076532,2788.0794823970764
Addu,Indian_Ocean,Anous_stolidus,947.9149530796046,315.0113287195675,2901.444832553262
Ahe,Polynesia,Anous_stolidus,428.778428349132,147.42111055695776,1233.2358982211038
Ailuk,Micronesia,Anous_stolidus,1409.0786987667027,479.2167502567356,4090.364234246414
Anaa,Polynesia,Anous_stolidus,851.3277732664885,286.6195842034049,2395.660611486392
Ant,Micronesia,Anous_stolidus,22.409617267964045,7.082420805996627,81.5805763300574
Anuanuraro,Polynesia,Anous_stolidus,525.2610927071132,180.69436771726808,1451.6371869028847
Anuanurunga,Polynesia,Anous_stolidus,448.7033393000934,153.70994919310746,1246.1356354160903
Apataki,Polynesia,Anous_stolidus,567.042153156045,187.25172582318993,1602.9559880166441
Aratika,Polynesia,Anous_stolidus,486.3818005350709,167.76036031232914,1356.3991515064995
Arno,Micronesia,Anous_stolidus,458.0761124326057,142.2488286471142,1303.7493883122356
Arutua,Polynesia,Anous_stolidus,521.9711710092837,175.24524915580508,1486.6754494394
Aur,Micronesia,Anous_stolidus,645.9156397986712,240.24994255100918,2030.471696060282
Butaritari,Micronesia,Anous_stolidus,883.1661111688175,287.0749866800219,2608.5045141867054
Etal,Micronesia,Anous_stolidus,60.75430384938087,19.678714867637865,185.728101877001
Fakahina,Polynesia,Anous_stolidus,1043.7848304275626,339.39463016122545,2789.8250222974175
Fakaofo,Polynesia,Anous_stolidus,427.72852849686734,145.45135287050732,1237.0079092659664
Hao,Polynesia,Anous_stolidus,930.3164560425253,300.4983500767838,2774.2185664118356
Hereheretui,Polynesia,Anous_stolidus,1214.2015315340934,403.68199546252293,3190.3448743488875
Kapingamarangi,Micronesia,Anous_stolidus,415.1067266449288,148.78844649810063,1297.6097505963453
Kauehi,Polynesia,Anous_stolidus,489.8038982360721,175.50456054207112,1471.9912254695191
Kaukura,Polynesia,Anous_stolidus,525.0826532611109,180.49952420947866,1525.3830094494194
Lae,Micronesia,Anous_stolidus,520.6309721511235,194.0784490938553,1542.1820663795436
Likiep,Micronesia,Anous_stolidus,1172.475222838561,430.05720606851025,3578.795143223393
Losap,Micronesia,Anous_stolidus,117.28830474480074,38.932508948140466,351.685692185561
Lukunor,Micronesia,Anous_stolidus,79.69563942523295,27.7585702926249,266.1883326929258
Maiana,Micronesia,Anous_stolidus,767.7874039829982,270.0485983491267,2543.4028430900926
Majuro,Micronesia,Anous_stolidus,429.93570983305864,134.01604336727732,1245.567852353099
Manihi,Polynesia,Anous_stolidus,590.3349054405737,210.2053344211748,1738.7411963504155
Manihiki,Polynesia,Anous_stolidus,573.6846867252161,185.4396036104661,1525.4531462933776
Marakei,Micronesia,Anous_stolidus,715.3910991374285,237.6231273793318,2157.5073516934654
Maria_Est,Polynesia,Anous_stolidus,331.6923731531111,128.1460787715414,1065.2970149481673
Marutea_Sud,Polynesia,Anous_stolidus,844.0632364537221,277.5541999841186,2357.5329994884846
Mataiva,Polynesia,Anous_stolidus,499.3310564318576,188.46242606380667,1541.0932872377218
Matureivavao,Polynesia,Anous_stolidus,274.6633514372645,96.26742973507785,824.8224748865699
Mili,Micronesia,Anous_stolidus,570.3917189218345,198.60928033473033,1788.147351764393
Mokil,Micronesia,Anous_stolidus,209.67621609089716,72.05723284590601,641.1735509237569
Moruroa,Polynesia,Anous_stolidus,807.0256433202926,263.0038876486282,2184.299327671837
Motu_One,Polynesia,Anous_stolidus,457.7703204238751,150.0991742208933,1253.8535282885134
Namoluk,Micronesia,Anous_stolidus,154.73921649234293,47.3393258277007,423.82659770484025
Namu,Micronesia,Anous_stolidus,882.1387423735689,295.8466290998256,2520.143407190123
Napuka,Polynesia,Anous_stolidus,962.8328219728016,353.06034668161516,2865.5471568225107
Nengonengo,Polynesia,Anous_stolidus,858.1540717819946,309.39290907856855,2479.513045035042
Ngcheangel,Micronesia,Anous_stolidus,47.60922130185126,12.424151103443222,135.1629894416586
Niau,Polynesia,Anous_stolidus,425.8389170345638,156.5921364007454,1235.221493138887
Ninigo,Melanesia,Anous_stolidus,258.2930301692805,86.94637621449594,818.7175598791804
Niutao,Polynesia,Anous_stolidus,703.6129527178216,245.45567218579035,2090.2131267926875
Nonouti,Micronesia,Anous_stolidus,1109.6504978716332,343.57890123510936,3073.774970173686
Nuguria,Melanesia,Anous_stolidus,253.7398760331702,82.81120878792936,831.7415513865568
Nukapu,Melanesia,Anous_stolidus,53.734923699845076,18.852135231924574,186.47274142787884
Nukulaelae,Polynesia,Anous_stolidus,739.055180943466,261.5102624572641,2169.9139432612205
Nukumanu,Melanesia,Anous_stolidus,419.31206080626527,125.03656398058018,1137.923499010988
Nukuoro,Micronesia,Anous_stolidus,293.6603276777951,96.30254051471108,882.5471152317581
Nukutepipi,Polynesia,Anous_stolidus,471.4341267271036,170.18873530684257,1376.3931690013258
Onotoa,Micronesia,Anous_stolidus,1157.4413208589006,405.8157427178632,3558.3516186459256
Ontong_Java,Melanesia,Anous_stolidus,402.80848037146114,123.09243223938255,1165.7262810038014
Oroluk,Micronesia,Anous_stolidus,303.85816560601603,104.46550741790902,926.8545344571221
Pakin,Micronesia,Anous_stolidus,35.20001837283301,10.629830894860369,114.88179431535973
Palmerston,Polynesia,Anous_stolidus,1549.5588316882538,519.5503629902619,4471.582417640755
Paraoa,Polynesia,Anous_stolidus,617.6335660726766,214.84214034589814,1702.3277399073377
Pinaki,Polynesia,Anous_stolidus,608.4331616386835,209.28271048701282,1726.0564279257612
Pingelap,Micronesia,Anous_stolidus,187.03436295843076,61.786719610824825,564.726508841421
Pukapuka,Polynesia,Anous_stolidus,497.4592898868888,168.4231945589513,1401.860173054097
Pukarua,Polynesia,Anous_stolidus,760.3439822665832,291.36582402442366,2452.1023773535753
Qelelevu,Melanesia,Anous_stolidus,226.5586608590451,67.3902914212142,628.4171942471338
Rakahanga,Polynesia,Anous_stolidus,441.745058288899,146.6330601068985,1170.8231252049188
Rangiroa,Polynesia,Anous_stolidus,344.4878387151774,116.46936217669334,1126.7481991358907
Raroia,Polynesia,Anous_stolidus,682.2029523706981,213.87105606441665,1877.8483878915613
Reao,Polynesia,Anous_stolidus,777.3425195029259,251.19820963106147,2204.2227499041014
Rongelap,Micronesia,Anous_stolidus,780.9194379042813,281.9828406979456,2384.14755299252
Sapwuahfik,Micronesia,Anous_stolidus,145.27839434157892,53.40931987470523,483.3931541995447
Satawan,Micronesia,Anous_stolidus,103.26138245934371,31.322740992767287,307.4005110146981
St_Joseph,Indian_Ocean,Anous_stolidus,536.5510693306383,203.61969391554655,1702.1436537939749
Tabiteuea,Micronesia,Anous_stolidus,1528.0698914266973,530.2530755702418,4733.493694939489
Taiaro,Polynesia,Anous_stolidus,421.8735081386352,147.6180004614304,1168.4962976291508
Takapoto,Polynesia,Anous_stolidus,383.5329846968455,130.50560150715356,1093.509815332914
Takaroa,Polynesia,Anous_stolidus,600.6395306815672,209.46528592212923,1764.6499136717541
Tarawa,Micronesia,Anous_stolidus,423.2670667968703,118.49708131637237,1226.8167986714043
Tatakoto,Polynesia,Anous_stolidus,1532.3194631833362,518.0344086619789,4387.865896916092
Temitangi,Polynesia,Anous_stolidus,1806.7599262076278,638.1472163072648,5219.871733008202
Teraina,Polynesia,Anous_stolidus,1980.4532355385875,657.9413479422996,5535.964848200971
Tikehau,Polynesia,Anous_stolidus,314.298523553722,99.41142562401728,911.4728479676719
Tongareva,Polynesia,Anous_stolidus,1655.6240389652198,600.6822652917584,4871.357365876086
Tupai,Polynesia,Anous_stolidus,156.0212323688437,52.50498424212904,502.9738977964387
Tureia,Polynesia,Anous_stolidus,812.8255609037875,267.7239847994683,2271.986796951665
Ujae,Micronesia,Anous_stolidus,659.9256184953305,241.56409344777535,1938.878857735376
Ujelang,Micronesia,Anous_stolidus,759.2200763634297,246.14717546913914,2047.2692961023993
Ulithi,Micronesia,Anous_stolidus,347.4861599794246,96.45697539371068,944.4295400042962
Vairaatea,Polynesia,Anous_stolidus,977.6009344863674,349.87332706381727,2772.753275094849
Vaitupu,Polynesia,Anous_stolidus,408.6557775672141,135.51383640435867,1129.7764239476614
Vanavana,Polynesia,Anous_stolidus,578.9973920554994,200.85745761209427,1607.756875178104
Wailagilala,Melanesia,Anous_stolidus,372.9510139512851,124.36076581692582,1152.1928562277085
Wotho,Micronesia,Anous_stolidus,836.508475482431,289.7488330517629,2354.5410789245225
Wotje,Micronesia,Anous_stolidus,824.1281334507768,248.22947897767875,2244.887737082937
