atoll,region,species,mean,lower005,upper095
Abaiang,Micronesia,Anous_stolidus,0.7093016539376705,0.5578695270543806,0.8324443623345589
Abaiang,Micronesia,Anous_minutus,0.7060156825467334,0.5507585022090014,0.829765017452987
Abaiang,Micronesia,Anous_tenuirostris,0.24131253528964774,0.13133870330263014,0.3891465985454174
Abaiang,Micronesia,Anous_ceruleus,0.20040469003563718,0.10454626445457198,0.31763198144485144
Abaiang,Micronesia,Gygis_alba,0.772834272760877,0.6404502952569746,0.8828381024595984
Abaiang,Micronesia,Onychoprion_fuscatus,0.34346980558071916,0.19660454720270729,0.5071143734092283
Abaiang,Micronesia,Onychoprion_lunatus,0.3437934051596587,0.1981466034933665,0.513780936398325
Abaiang,Micronesia,Onychoprion_anaethetus,0.24801528554835164,0.1344980958276115,0.4014150693330268
Abaiang,Micronesia,Sternula_nereis,0.22770588383060097,0.11711447309586519,0.3714522672988526
Abaiang,Micronesia,Sternula_saundersi,0.16912302209156993,0.08159168649063397,0.28700007304700376
Abaiang,Micronesia,Hydroprogne_caspia,0.15135158086334352,0.07142422338175573,0.2601085098244074
Abaiang,Micronesia,Sterna_dougallii,0.14346974912037236,0.06782324442082142,0.24558203805108747
Abaiang,Micronesia,Sterna_sumatrana,0.46461704014785365,0.28768006587512834,0.6426528130157918
Abaiang,Micronesia,Thalasseus_bergii,0.5930577210502506,0.41219584733390147,0.758027318999075
Abaiang,Micronesia,Thalasseus_bengalensis,0.29701183422386923,0.15732944039681443,0.4727079866667717
Abaiang,Micronesia,Phaethon_lepturus,0.24424886733221216,0.12699814278279242,0.3891029569916032
Abaiang,Micronesia,Phaethon_rubricauda,0.5334215175561147,0.3549748704125156,0.7142082735838036
Abaiang,Micronesia,Phoebastria_immutabilis,0.21091152361133522,0.10586944916815948,0.34955568690503297
Abaiang,Micronesia,Phoebastria_nigripes,0.253885890549771,0.13805917991458075,0.3967630296745037
Abaiang,Micronesia,Phoebastria_albatrus,0.2186488862661187,0.10981122790574689,0.36056196703450466
Abaiang,Micronesia,Nesofregetta_fuliginosa,0.25499294794006433,0.14170212763538864,0.40019490342318864
Abaiang,Micronesia,Hydrobates_tristrami,0.18019340708175893,0.09294314675699564,0.288973582334361
Abaiang,Micronesia,Pterodroma_neglecta,0.11605491947691758,0.05150744426590374,0.2062375632359337
Abaiang,Micronesia,Pterodroma_heraldica,0.20224612262188266,0.101281800949127,0.33595239652322906
