atoll,Anous_stolidus,Anous_minutus,Anous_tenuirostris,Anous_ceruleus,Gygis_alba,Onychoprion_fuscatus,Onychoprion_lunatus,Onychoprion_anaethetus,Sternula_nereis,Sternula_saundersi,Hydroprogne_caspia,Sterna_dougallii,Sterna_sumatrana,Thalasseus_bergii,Thalasseus_bengalensis,Phaethon_lepturus,Phaethon_rubricauda,Phoebastria_immutabilis,Phoebastria_nigripes,Phoebastria_albatrus,Nesofregetta_fuliginosa,Hydrobates_tristrami,Pterodroma_neglecta,Pterodroma_heraldica,Pterodroma_ultima,Pterodroma_hypoleuca,Pterodroma_alba,Bulweria_bulwerii,Ardenna_pacifica,Puffinus_nativitatis,Puffinus_bailloni,Fregata_ariel,Fregata_minor,Sula_dactylatra,Sula_granti,Sula_leucogaster,Sula_sula
Eauripik,0.9264,0.9164,0.044,0.082,0.8588,0.5498,0.0724,0.0416,0.0472,0.0554,0.091,0.106,0.7832,0.7768,0.0286,0.411,0.1196,0.0586,0.0866,0.0456,0.0556,0.0526,0.0848,0.0684,0.061,0.0812,0.0566,0.0626,0.1862,0.1234,0.0424,0.1732,0.7272,0.1288,0.0574,0.4448,0.6956
Ebon,0.922,0.8782,0.0574,0.0582,0.8962,0.3804,0.1456,0.05,0.0554,0.0536,0.0484,0.043,0.6298,0.7308,0.0796,0.2356,0.1994,0.0692,0.049,0.0564,0.0732,0.0474,0.0276,0.0858,0.0566,0.044,0.0518,0.0534,0.1226,0.06,0.0466,0.2102,0.5824,0.0742,0.0284,0.5048,0.5264
Elato,0.8534,0.7762,0.0212,0.0244,0.7624,0.2706,0.0432,0.023,0.026,0.0354,0.0384,0.0362,0.5626,0.6506,0.0272,0.178,0.0714,0.04,0.0222,0.0264,0.0302,0.0208,0.0298,0.0374,0.0386,0.032,0.0194,0.0284,0.071,0.037,0.0216,0.0964,0.5026,0.1568,0.0808,0.365,0.415
Faafu,0.5198,0.073,0.2384,0.0638,0.436,0.3398,0.0638,0.1676,0.0682,0.0838,0.192,0.2274,0.547,0.43,0.2804,0.424,0.1106,0.0588,0.045,0.0628,0.0618,0.0592,0.053,0.1456,0.1036,0.0796,0.073,0.0456,0.169,0.0656,0.143,0.1856,0.2574,0.1166,0.0732,0.19,0.4034
Faraulep,0.9352,0.9206,0.0546,0.0872,0.8828,0.5266,0.0892,0.053,0.0546,0.0696,0.0766,0.0906,0.762,0.801,0.0406,0.3608,0.155,0.0602,0.0986,0.0548,0.0558,0.0556,0.095,0.0734,0.0684,0.071,0.0626,0.0688,0.1822,0.1026,0.0538,0.2146,0.7014,0.1258,0.0622,0.5232,0.6704
Felidhu,0.535,0.087,0.2342,0.0708,0.4384,0.391,0.0586,0.152,0.0648,0.0798,0.213,0.2708,0.5782,0.4332,0.25,0.471,0.1088,0.0528,0.0606,0.054,0.0606,0.0548,0.0678,0.131,0.1036,0.088,0.0882,0.0538,0.2182,0.0922,0.1562,0.1774,0.3044,0.1126,0.0704,0.1718,0.4492
Gaafaru,0.456,0.054,0.1824,0.0438,0.3618,0.3226,0.0364,0.1152,0.0606,0.0736,0.1684,0.22,0.5044,0.3596,0.1504,0.4062,0.0958,0.0372,0.0508,0.0486,0.0424,0.0362,0.0558,0.1168,0.0798,0.0692,0.0744,0.0342,0.1384,0.061,0.1108,0.1394,0.2298,0.1348,0.0848,0.141,0.3722
Haddhunmathi,0.5646,0.087,0.2784,0.067,0.4918,0.373,0.0848,0.189,0.0802,0.0976,0.222,0.2664,0.577,0.4582,0.3994,0.4582,0.1108,0.073,0.04,0.0684,0.0724,0.069,0.05,0.2004,0.1136,0.0912,0.074,0.056,0.193,0.0724,0.167,0.21,0.2888,0.117,0.0636,0.2396,0.4258
Hikueru,0.9328,0.8342,0.0354,0.1972,0.9014,0.3974,0.2048,0.038,0.031,0.0446,0.0314,0.0312,0.102,0.2142,0.0444,0.1596,0.4094,0.0648,0.0458,0.0404,0.0546,0.059,0.0826,0.0464,0.1022,0.068,0.0562,0.079,0.107,0.0912,0.0656,0.3442,0.414,0.3246,0.0364,0.5584,0.6992
Hiti,0.864,0.689,0.0224,0.1136,0.8334,0.223,0.1366,0.0232,0.0222,0.0292,0.0128,0.0098,0.0432,0.144,0.0206,0.0768,0.4146,0.04,0.0304,0.0328,0.0272,0.0362,0.0544,0.0194,0.0598,0.0324,0.039,0.042,0.0556,0.0466,0.0358,0.241,0.2454,0.3288,0.038,0.437,0.49
