atoll,region,species,median,lower,upper
Abemama,Micronesia,Anous_stolidus,655.8110065422239,218.6044753960429,2049.702768693598
Addu,Indian_Ocean,Anous_stolidus,1267.9747744133538,361.42335003634724,3778.8309796340036
Ahe,Polynesia,Anous_stolidus,427.4489636406346,157.51739553916417,1369.6486274112515
Ailuk,Micronesia,Anous_stolidus,1159.9708774516118,365.7693830798326,3277.1142857250784
Anaa,Polynesia,Anous_stolidus,773.6346443771388,256.67716802847355,2256.539580915383
Ant,Micronesia,Anous_stolidus,11.55141642195496,3.221347909792239,44.13839513744185
Anuanuraro,Polynesia,Anous_stolidus,508.53446912876854,187.84026135155082,1522.1914703547163
Anuanurunga,Polynesia,Anous_stolidus,441.1397091392027,147.00140791291517,1232.9607027008567
Apataki,Polynesia,Anous_stolidus,505.51807848344345,158.9315489279776,1440.3014177450223
Aratika,Polynesia,Anous_stolidus,471.49415316789066,162.41722609666198,1351.9125981338045
Arno,Micronesia,Anous_stolidus,392.466266550664,128.61047872126906,1263.806395057092
Arutua,Polynesia,Anous_stolidus,473.59043745069044,155.79152282630903,1406.9170158874495
Aur,Micronesia,Anous_stolidus,505.07957114218414,169.46172595142133,1501.5109719434597
Butaritari,Micronesia,Anous_stolidus,832.8703752976476,269.39428982767106,2587.172707395144
Etal,Micronesia,Anous_stolidus,40.18108196601827,12.149726751343135,125.62801142714912
Fakahina,Polynesia,Anous_stolidus,1223.422409600597,460.42141847729016,3910.8837582171695
Fakaofo,Polynesia,Anous_stolidus,517.0564308770419,172.98598521728297,1519.968952555528
Hao,Polynesia,Anous_stolidus,1021.3466187607075,372.05268052039867,3647.851984237737
Hereheretui,Polynesia,Anous_stolidus,1265.3402549281834,428.2600795364523,3446.8841674291602
Kapingamarangi,Micronesia,Anous_stolidus,359.9300584019857,116.45758301337781,1063.9493830648057
Kauehi,Polynesia,Anous_stolidus,467.76346757164606,152.02232565229716,1325.4008682733077
Kaukura,Polynesia,Anous_stolidus,474.95031129397404,151.55540475403774,1334.3183131183544
Lae,Micronesia,Anous_stolidus,386.91412685985387,130.45290332490998,1095.1047494353659
Likiep,Micronesia,Anous_stolidus,957.4427446032021,350.8887780432656,3142.4647292009945
Losap,Micronesia,Anous_stolidus,83.21692299178291,27.921910390709815,279.3231427882233
Lukunor,Micronesia,Anous_stolidus,60.27905764785852,17.778591484623057,185.90295171628387
Maiana,Micronesia,Anous_stolidus,559.1639828753255,184.42649370618375,1806.430670932586
Majuro,Micronesia,Anous_stolidus,392.0613268004229,114.5710289367944,1176.19960631671
Manihi,Polynesia,Anous_stolidus,574.4275061754853,186.56614024925844,1617.1649300327344
Manihiki,Polynesia,Anous_stolidus,724.2575132763922,229.93194654834227,1992.9082560967095
Marakei,Micronesia,Anous_stolidus,547.5909312534027,166.16634073714968,1602.7704167006953
Maria_Est,Polynesia,Anous_stolidus,295.43886664567515,96.06590911266174,815.9746476314581
Marutea_Sud,Polynesia,Anous_stolidus,779.1481406669909,251.9097182873118,2217.4307014697747
