PC1,PC2,PC3,PC4,PC5,PC6,atoll,region,species,presence
-2.433823847834206,2.3438171089239943,1.9331557470162413,-1.2674207335796244,-0.968582302368975,-0.7191010770683388,Abariringa,Polynesia,Anous_stolidus,1.0
-4.329594935175058,1.0529091473443977,0.5972743096586716,-0.5563294048687267,-0.27910074264274765,-0.541661850712998,Abemama,Micronesia,Anous_stolidus,1.0
-1.6976953322014536,0.32871033526921517,-1.2631593974089175,0.10955938536655563,-0.5534119610780384,1.6746381749822787,Addu,Indian_Ocean,Anous_stolidus,1.0
-1.0535224916760133,1.9870737976520734,-1.2142181283431048,0.7761106025476908,0.48471499899234355,-0.3354036005213975,Ahe,Polynesia,Anous_stolidus,1.0
2.188909616259147,2.5358374423268715,0.18552016394980386,0.37469459792617915,0.3436543349185631,0.7417702888526311,Ahunui,Polynesia,Anous_stolidus,1.0
0.49681803951056563,0.26508896194903847,-0.20417358872084376,-0.48641910115567466,0.6296398435590909,-0.6839071408564744,Ailinginae,Micronesia,Anous_stolidus,1.0
0.37313254999595075,0.16314877355486374,-1.453108939471931,-1.163590677769376,-0.5601676029647509,0.40939852507569896,Ailuk,Micronesia,Anous_stolidus,1.0
-1.6212703749302606,0.9364400769238114,-0.4902992902763106,-1.6630002503448447,0.3084105159576753,-1.897620041659054,Aldabra,Indian_Ocean,Anous_stolidus,1.0
-1.4441178239036965,-0.15188906482777975,1.9747480911879443,0.35169450013432035,2.2747766024017677,0.011653631607567109,Alphonse,Indian_Ocean,Anous_stolidus,0.0
-0.29454050224988076,1.9269361839849737,-1.5058627660729222,-0.10708397621095667,-0.3476772147929625,-1.3538674468234253,Anaa,Polynesia,Anous_stolidus,1.0
1.2745672368067216,-2.474215000175865,-0.9167286297990761,3.3943086894573637,0.10371819892543763,-1.3809779175765755,Ant,Micronesia,Anous_stolidus,1.0
2.369109758607367,1.5594500238865205,0.7718544500356819,0.22690784885539955,0.9560194074866927,0.37352402559247505,Anuanuraro,Polynesia,Anous_stolidus,1.0
2.633675674930748,1.4508526086111884,1.1487657396231499,0.3820868746957841,1.166934067512397,0.6471170122103261,Anuanurunga,Polynesia,Anous_stolidus,1.0
-1.4521978519844867,1.6789419760972717,-1.6951669710905002,0.08580411820169077,0.42551356120874306,-1.4311877257026173,Apataki,Polynesia,Anous_stolidus,1.0
-4.104281343025932,1.0709135807312258,1.4312227200413372,-0.4744859543893976,0.03800475083482753,-0.6368926492727595,Aranuka,Micronesia,Anous_stolidus,1.0
-1.0926733776245057,1.8903003835574252,-0.8487176553251154,0.5535335462199082,0.3161539122111507,-0.68886609696492,Aratika,Polynesia,Anous_stolidus,1.0
-2.0672517203318357,-0.5234498916959389,-2.1106032824356027,0.17097147054342013,-0.23241988117320575,0.3869977402565932,Arno,Micronesia,Anous_stolidus,1.0
-1.4262984893635047,1.5580057955425095,-1.5002484602452928,0.14777134832294136,0.38842047877725133,-1.3549057667835998,Arutua,Polynesia,Anous_stolidus,1.0
-0.7863546495409217,-0.6928087292914833,0.9406340855579628,-1.539883798982945,1.4314001839959152,-1.3121844691775073,Astove,Indian_Ocean,Anous_stolidus,0.0
-0.29665177880116916,0.6597465578133302,-0.3660742678208979,1.2858616851805806,-1.3610787507997635,0.5794989334338814,Atafu,Polynesia,Anous_stolidus,1.0
-0.9682992227145966,-0.3818891845244877,-1.633138608470131,-0.45393425349544814,-0.1756507240270644,-0.028775408434059867,Aur,Micronesia,Anous_stolidus,1.0
-0.6370143507271067,-1.787341230458642,0.7806437264286785,-1.4096848499812418,0.5325584090468919,0.80203625229177,Bangaram,Indian_Ocean,Anous_stolidus,0.0
2.9389334313619524,-2.4454254775534388,0.3675803247734179,-1.8239833413253452,1.6883707410150528,-1.9265718701972232,Beautemps-Beaupre,Melanesia,Anous_stolidus,1.0
2.0676725354784784,-1.6571430151756588,0.3037775982935847,-3.3636155507963594,1.3519853973224776,-0.887468715568535,Bellona,Melanesia,Anous_stolidus,1.0
2.28231359399546,0.5442706455844087,0.8256689396155509,-0.8074394273188031,0.07265134861298374,0.8991150418985496,Bikar,Micronesia,Anous_stolidus,1.0
0.2378593717986356,0.35800368204818644,-0.5556109680611411,-1.0651085777377785,-0.08327170253615399,-0.21148200007174717,Bikini,Micronesia,Anous_stolidus,1.0
-1.4608101077257325,1.657650636821346,4.252024502021711,-0.3637995369788208,0.07425760965611898,-0.41560275412843234,Birnie,Polynesia,Anous_stolidus,1.0
-0.8588406930070961,-1.7620676295255098,1.5370801001274514,-0.9829652775337743,0.6432374190203465,1.6401978445171543,Bitra_Par,Indian_Ocean,Anous_stolidus,0.0
2.3624448137280734,1.3468571915935443,-0.4056809757002107,-1.0831757197934355,-0.8448127396550783,0.6386257646040165,Bokaak,Micronesia,Anous_stolidus,1.0
-3.766534146315424,0.036370147222119446,-0.542810421552016,-0.24238919587959426,-1.1450142751512804,0.30824912246085034,Butaritari,Micronesia,Anous_stolidus,1.0
-0.35884019121310384,-1.896845460615951,2.2719399261134523,-1.0360118385823316,1.3113779688667633,1.2211795511653758,Byramgore,Indian_Ocean,Anous_stolidus,1.0
-0.3165281923524694,2.2304841373791735,1.084502884363679,-0.0011842381610100024,-1.6659011607943346,-0.5799001901838469,Caroline,Polynesia,Anous_stolidus,1.0
0.030388242807440503,-2.3287379257786585,1.8335923636979425,-1.483626577385823,1.0860407689929543,0.6523768495216031,Cherbaniani,Indian_Ocean,Anous_stolidus,1.0
