atoll,region,species,nbirds
Nupani,Melanesia,Anous_minutus,500.0
Oeno,Polynesia,Anous_minutus,200.0
Orona,Polynesia,Anous_minutus,4000.0
Palmyra,Polynesia,Anous_minutus,6498.0
Pearl_and_Hermes,Polynesia,Anous_minutus,200.0
Qelelevu,Melanesia,Anous_minutus,186334.0
Raraka,Polynesia,Anous_minutus,2000.0
Rose,Polynesia,Anous_minutus,1232.0
Scilly,Polynesia,Anous_minutus,176.0
Sorol,Micronesia,Anous_minutus,600.0
Surprise,Melanesia,Anous_minutus,6200.0
Suwarrow,Polynesia,Anous_minutus,140.0
Swains,Polynesia,Anous_minutus,7092.0
Tabuaeran,Polynesia,Anous_minutus,2000.0
Tahanea,Polynesia,Anous_minutus,540.0
Taka,Micronesia,Anous_minutus,1040.0
Takuu,Melanesia,Anous_minutus,1000.0
Tekokota,Polynesia,Anous_minutus,11.0
Temoe,Polynesia,Anous_minutus,22.0
Tenararo,Polynesia,Anous_minutus,100.0
Toau,Polynesia,Anous_minutus,1300.0
Tubbataha,Micronesia,Anous_minutus,2876.0
Vahanga,Polynesia,Anous_minutus,10.0
Wake,Micronesia,Anous_minutus,2000.0
Diego_Garcia,Indian_Ocean,Anous_tenuirostris,150.0
Farquhar,Indian_Ocean,Anous_tenuirostris,60.0
Great_Chagos_Bank,Indian_Ocean,Anous_tenuirostris,55470.0
Peros_Banhos,Indian_Ocean,Anous_tenuirostris,41700.0
Saloman,Indian_Ocean,Anous_tenuirostris,4240.0
Abariringa,Polynesia,Anous_ceruleus,5.0
Bikar,Micronesia,Anous_ceruleus,20.0
Bokaak,Micronesia,Anous_ceruleus,10.0
Caroline,Polynesia,Anous_ceruleus,9.0
Ducie,Polynesia,Anous_ceruleus,30.0
French_Frigate_Shoals,Polynesia,Anous_ceruleus,30.0
Kiritimati,Polynesia,Anous_ceruleus,570.0
Malden,Polynesia,Anous_ceruleus,40.0
Palmyra,Polynesia,Anous_ceruleus,2.0
Raraka,Polynesia,Anous_ceruleus,16.0
Rawaki,Polynesia,Anous_ceruleus,5000.0
Abariringa,Polynesia,Gygis_alba,20.0
Ahunui,Polynesia,Gygis_alba,260.0
Ailinginae,Micronesia,Gygis_alba,350.0
Aldabra,Indian_Ocean,Gygis_alba,750.0
Atafu,Polynesia,Gygis_alba,10000.0
Bikar,Micronesia,Gygis_alba,700.0
Bikini,Micronesia,Gygis_alba,2604.0
Birnie,Polynesia,Gygis_alba,27.0
Bokaak,Micronesia,Gygis_alba,600.0
Butaritari,Micronesia,Gygis_alba,200.0
Caroline,Polynesia,Gygis_alba,7914.0
Clipperton,Polynesia,Gygis_alba,10.0
Cocos,Indian_Ocean,Gygis_alba,2000.0
Cosmoledo,Indian_Ocean,Gygis_alba,15.0
Diego_Garcia,Indian_Ocean,Gygis_alba,450.0
Ducie,Polynesia,Gygis_alba,10000.0
Egmont,Indian_Ocean,Gygis_alba,94.0
Enderbury,Polynesia,Gygis_alba,100.0
Eniwetok,Micronesia,Gygis_alba,1400.0
Erikub,Micronesia,Gygis_alba,4130.0
Faaite,Polynesia,Gygis_alba,10.0
Fakarava,Polynesia,Gygis_alba,289.0
Fangataufa,Polynesia,Gygis_alba,200.0
Farquhar,Indian_Ocean,Gygis_alba,200.0
French_Frigate_Shoals,Polynesia,Gygis_alba,100.0
Funafuti,Polynesia,Gygis_alba,664.0
Great_Chagos_Bank,Indian_Ocean,Gygis_alba,450.0
Haraiki,Polynesia,Gygis_alba,100.0
Helen,Micronesia,Gygis_alba,35.0
Jaluit,Micronesia,Gygis_alba,1020.0
Jemo,Micronesia,Gygis_alba,600.0
Johnston,Polynesia,Gygis_alba,900.0
Kiritimati,Polynesia,Gygis_alba,2500.0
Kure,Polynesia,Gygis_alba,300.0
Kuria,Micronesia,Gygis_alba,500.0
Kwajalein,Micronesia,Gygis_alba,160.0
Laysan,Polynesia,Gygis_alba,2000.0
Lisianski,Polynesia,Gygis_alba,150.0
Manra,Polynesia,Gygis_alba,200.0
Manuhangi,Polynesia,Gygis_alba,193.0
Maria,Polynesia,Gygis_alba,265.0
Maupihaa,Polynesia,Gygis_alba,138.0
McKean,Polynesia,Gygis_alba,200.0
Midway,Polynesia,Gygis_alba,15000.0
Morane,Polynesia,Gygis_alba,1260.0
Nikumaroro,Polynesia,Gygis_alba,400.0
Nukunonu,Polynesia,Gygis_alba,10000.0
Numa_Miombilou,Melanesia,Gygis_alba,15.0
Nupani,Melanesia,Gygis_alba,7.0
Oeno,Polynesia,Gygis_alba,2000.0
Orona,Polynesia,Gygis_alba,600.0
Palmyra,Polynesia,Gygis_alba,508.0
Paraoa,Polynesia,Gygis_alba,494.0
Pearl_and_Hermes,Polynesia,Gygis_alba,30.0
Peros_Banhos,Indian_Ocean,Gygis_alba,616.0
Qelelevu,Melanesia,Gygis_alba,3480.0
Raraka,Polynesia,Gygis_alba,1500.0
Rawaki,Polynesia,Gygis_alba,40.0
Reitoru,Polynesia,Gygis_alba,1184.0
Rongerik,Micronesia,Gygis_alba,2000.0
Rose,Polynesia,Gygis_alba,10.0
Saloman,Indian_Ocean,Gygis_alba,246.0
Scilly,Polynesia,Gygis_alba,303.0
Sorol,Micronesia,Gygis_alba,36.0
St_Joseph,Indian_Ocean,Gygis_alba,150.0
Swains,Polynesia,Gygis_alba,4413.0
Tabuaeran,Polynesia,Gygis_alba,2000.0
Tahanea,Polynesia,Gygis_alba,560.0
Taka,Micronesia,Gygis_alba,750.0
Takuu,Melanesia,Gygis_alba,50.0
Tekokota,Polynesia,Gygis_alba,505.0
Temoe,Polynesia,Gygis_alba,500.0
Tenararo,Polynesia,Gygis_alba,100.0
Teraina,Polynesia,Gygis_alba,2000.0
Toau,Polynesia,Gygis_alba,300.0
Vahanga,Polynesia,Gygis_alba,100.0
Wake,Micronesia,Gygis_alba,400.0
